Document,Type,Description
SCR 0001 of 2023,Senate Concurrent Resolution,A concurrent resolution granting authority for adjournment for more than 2 days.Last Action: REFERRED TO SECRETARY FOR RECORD
HCR 0001 of 2023,House Concurrent Resolution,A concurrent resolution to waive the legislative notice requirement for increases in rates of compensation for certain employees in the state classified service.Last Action: reported with recommendation without amendment
HCR 0002 of 2023,House Concurrent Resolution,"A concurrent resolution to urge the Michigan Department of Natural Resources, in coordination with the U.S. Department of the Interior and the federal government, to re-establish a viable and self-sustaining wolf population in the Lower Peninsula.Last Action: referred to Committee on Natural Resources, Environment, Tourism and Outdoor Recreation"
SCR 0002 of 2023,Senate Concurrent Resolution,A concurrent resolution for the adoption of the Joint Rules of the Senate and House of Representatives.Last Action: REFERRED TO SECRETARY FOR RECORD
SCR 0003 of 2023,Senate Concurrent Resolution,A concurrent resolution prescribing the Joint Convention Rules for the Legislature.Last Action: REFERRED TO SECRETARY FOR RECORD
HCR 0003 of 2023,House Concurrent Resolution,A concurrent resolution calling on the Archivist of the United States to certify and publish the Equal Rights Amendment as the Twenty-Eighth Amendment to the United States Constitution and calling on the United States Congress to declare the Equal Rights Amendment ratified.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
HCR 0004 of 2023,House Concurrent Resolution,A concurrent resolution to urge Congress to amend 38 USC § 5304 and 10 USC § 12316 to permit members of the United States reserves and National Guard to receive full or partial active service pay in tandem with disability compensation from the Department of Veterans Affairs.Last Action: reported with recommendation without amendment
SCR 0004 of 2023,Senate Concurrent Resolution,A concurrent resolution providing for a joint convention of the Senate and House of Representatives.Last Action: REFERRED TO SECRETARY FOR RECORD
SCR 0005 of 2023,Senate Concurrent Resolution,A concurrent resolution to waive the legislative notice requirement for increases in rates of compensation for certain employees in the state classified service.Last Action: REFERRED TO SECRETARY FOR RECORD
HCR 0005 of 2023,House Concurrent Resolution,"A concurrent resolution to urge the United States Congress, Department of Defense, and Department of Veterans Affairs to prioritize research and investment in non-technology treatment options for servicemembers and veterans who have psychological trauma as a result of military service.Last Action: adopted by Senate - referred to the Clerk for record"
HCR 0006 of 2023,House Concurrent Resolution,A concurrent resolution to approve the State Officers Compensation Commission determinations.Last Action: PLACED ON ORDER OF RESOLUTIONS
SCR 0006 of 2023,Senate Concurrent Resolution,A concurrent resolution to urge the United States Congress to allocate $425 million for the Great Lakes Restoration Initiative in the Fiscal Year 2024 budget.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND AGRICULTURE
SCR 0007 of 2023,Senate Concurrent Resolution,A concurrent resolution to prescribe the legislative schedule.Last Action: REFERRED TO SECRETARY FOR RECORD
HCR 0007 of 2023,House Concurrent Resolution,A concurrent resolution to oppose the designation of additional federal wilderness areas in Michigan’s Upper Peninsula and to urge the United States Congress to declare the entire city of Ann Arbor a wilderness area.Last Action: referred to Committee on Government Operations
HCR 0008 of 2023,House Concurrent Resolution,A concurrent resolution to urge the Michigan Supreme Court to amend the Code of Judicial Conduct to require Michigan judges to make broader financial disclosures.Last Action: referred to Committee on Government Operations
SCR 0008 of 2023,Senate Concurrent Resolution,A concurrent resolution to urge the United States Congress to address the misclassification of public safety telecommunicators under the Standard Occupational Classification system and to require their categorization as a protective service occupation.Last Action: referred to Committee on Government Operations
SCR 0009 of 2023,Senate Concurrent Resolution,A concurrent resolution prescribing the legislative schedule.Last Action: REFERRED TO SECRETARY FOR RECORD
HCR 0009 of 2023,House Concurrent Resolution,A concurrent resolution providing for the final adjournment of the Legislature.Last Action: referred to Committee on Government Operations
HCR 0010 of 2023,House Concurrent Resolution,A concurrent resolution providing for the final adjournment of the Legislature.Last Action: adopted by Senate - referred to the Clerk for record
SCR 0010 of 2023,Senate Concurrent Resolution,A concurrent resolution to observe the 150th anniversary of the laying of the cornerstone of the Michigan State Capitol.Last Action: REFERRED TO SECRETARY FOR RECORD
SCR 0011 of 2023,Senate Concurrent Resolution,"A concurrent resolution to urge the United States Congress to designate the Ehlco Area, the Trap Hills, the Norwich Plains, and a 2,000-acre addition to the Sturgeon River Gorge Wilderness in Michigan’s Upper Peninsula as federal Wilderness.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND AGRICULTURE"
HCR 0011 of 2023,House Concurrent Resolution,A concurrent resolution to authorize the Joint Committee on Administrative Rules to meet during the interim between sessions to consider waiving session days.Last Action: adopted by Senate - referred to the Clerk for record
SCR 0012 of 2024,Senate Concurrent Resolution,"A concurrent resolution of tribute offered as a memorial for Doug Cruce, former member of the Michigan Senate and Michigan House of Representatives.Last Action: REFERRED TO SECRETARY FOR RECORD"
HCR 0012 of 2024,House Concurrent Resolution,A concurrent resolution to vehemently oppose the transfer of mail processing operations from the Iron Mountain Processing and Distribution Center to the Green Bay Processing and Distribution Center in Wisconsin.Last Action: adopted by Senate - referred to the Clerk for record
HCR 0013 of 2024,House Concurrent Resolution,A concurrent resolution to waive the legislative notice requirement for increases in rates of compensation for certain employees in the state classified service.Last Action: adopted by Senate - referred to the Clerk for record
SCR 0013 of 2024,Senate Concurrent Resolution,A concurrent resolution providing for a joint convention of the Senate and House of Representatives.Last Action: REFERRED TO SECRETARY FOR RECORD
SCR 0014 of 2024,Senate Concurrent Resolution,A concurrent resolution to vehemently oppose the transfer of mail processing operations from the Iron Mountain Processing and Distribution Center to the Green Bay Processing and Distribution Center in Wisconsin.Last Action: referred to Committee on Government Operations
HCR 0014 of 2024,House Concurrent Resolution,A concurrent resolution to urge the federal government to increase funding for Double Up Food Bucks programs.Last Action: adopted by Senate - referred to the Clerk for record
HCR 0015 of 2024,House Concurrent Resolution,A concurrent resolution prescribing the legislative schedule.Last Action: adopted by Senate - referred to the Clerk for record
SCR 0015 of 2024,Senate Concurrent Resolution,A concurrent resolution to prescribe the legislative schedule.Last Action: REFERRED TO SECRETARY FOR RECORD
SCR 0016 of 2024,Senate Concurrent Resolution,"A concurrent resolution of tribute offered as a memorial for Michael L. Green, former member of the Michigan Senate and Michigan House of Representatives.Last Action: REFERRED TO SECRETARY FOR RECORD"
HCR 0016 of 2024,House Concurrent Resolution,A concurrent resolution prescribing the legislative schedule.Last Action: referred to Committee on Government Operations
SCR 0017 of 2024,Senate Concurrent Resolution,A concurrent resolution to approve the State Officers Compensation Commission determinations.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SCR 0018 of 2024,Senate Concurrent Resolution,A concurrent resolution to prescribe the legislative schedule.Last Action: REFERRED TO SECRETARY FOR RECORD
SCR 0019 of 2024,Senate Concurrent Resolution,"A concurrent resolution offered as a memorial for Nancy C. Cassis, former member of the Michigan Senate and Michigan House of Representatives.Last Action: REFERRED TO SECRETARY FOR RECORD"
SCR 0020 of 2024,Senate Concurrent Resolution,A concurrent resolution to amend the Joint Rules of the Senate and House of Representatives.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SCR 0021 of 2024,Senate Concurrent Resolution,A concurrent resolution to prescribe the legislative schedule.Last Action: referred to Committee on Government Operations
SCR 0022 of 2024,Senate Concurrent Resolution,A concurrent resolution to prescribe the legislative schedule.Last Action: REFERRED TO SECRETARY FOR RECORD
SCR 0023 of 2024,Senate Concurrent Resolution,A concurrent resolution to provide for the final adjournment of the legislature.Last Action: referred to Committee on Government Operations
