Document,Type,Description
SCR 0001 of 2021,Senate Concurrent Resolution,A concurrent resolution granting authority for adjournment for more than 2 days.Last Action: REFERRED TO SECRETARY FOR RECORD
HCR 0001 of 2021,House Concurrent Resolution,A concurrent resolution to honor and recognize frontline workers in the state of Michigan.Last Action: adopted by Senate - referred to the Clerk for record
HCR 0002 of 2021,House Concurrent Resolution,A concurrent resolution to recognize the victims lost to COVID-19 and to express our most sincere condolences to the families that have lost loved ones to COVID-19.Last Action: adopted by Senate - referred to the Clerk for record
SCR 0002 of 2021,Senate Concurrent Resolution,A concurrent resolution for the adoption of the Joint Rules of the Senate and House of Representatives.Last Action: REFERRED TO SECRETARY FOR RECORD
SCR 0003 of 2021,Senate Concurrent Resolution,A concurrent resolution to condemn the attempted coup to overturn the 2020 presidential election at the U.S. Capitol and state emphatically that there is no place for further undermining the 2020 November election with baseless conspiracy theories.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
HCR 0003 of 2021,House Concurrent Resolution,A concurrent resolution to urge the United States Department of Education to grant waivers for Michigan state assessment requirements under the Every Student Succeeds Act.Last Action: referred to Committee on Education
HCR 0004 of 2021,House Concurrent Resolution,A concurrent resolution to memorialize the federal government to provide direct aid to state and local governments.Last Action: referred to Committee on Government Operations
SCR 0004 of 2021,Senate Concurrent Resolution,"A concurrent resolution to censure Senators John Bizon, Tom Barrett, Kevin Daley, Kim LaSata, Dan Lauwers, Rick Outman, Jim Runestad, Lana Theis, Curt VanderWall, Roger Victory, and Dale Zorn and condemn their efforts to undermine American elections.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SCR 0005 of 2021,Senate Concurrent Resolution,A concurrent resolution to urge the United States Department of Education to grant waivers for Michigan state assessment requirements under the Every Student Succeeds Act.Last Action: REFERRED TO COMMITTEE ON EDUCATION AND CAREER READINESS
HCR 0005 of 2021,House Concurrent Resolution,A concurrent resolution to reaffirm states' rights under the United States Constitution to establish election laws.Last Action: REFERRED TO COMMITTEE ON ELECTIONS
HCR 0006 of 2021,House Concurrent Resolution,A concurrent resolution to memorialize the Congress of the United States to oppose recommendations to privatize and slow the service of the United States Postal Service.Last Action: referred to Committee on Government Operations
SCR 0006 of 2021,Senate Concurrent Resolution,A concurrent resolution to urge the Natural Resources Commission and the Department of Natural Resources to end the research study begun in 2019 concerning the effectiveness of antler point restrictions as a management tool in the chronic wasting disease core area.Last Action: REFERRED TO SECRETARY FOR RECORD
SCR 0007 of 2021,Senate Concurrent Resolution,"A concurrent resolution to urge the Wolf Management Advisory Council and the Natural Resources Commission to authorize, and the Department of Natural Resources to organize, wolf hunting and trapping as part of the state's wolf management efforts beginning in 2022.Last Action: LAID OVER ONE DAY UNDER THE RULES"
HCR 0007 of 2021,House Concurrent Resolution,A concurrent resolution to approve a designated open space land application for property in Kent County.Last Action: adopted by Senate - referred to the Clerk for record
HCR 0008 of 2021,House Concurrent Resolution,A concurrent resolution to memorialize the Congress of the United States to include sewer separation and other projects intended to reduce sewer overflows in infrastructure funding bills.Last Action: referred to Committee on Appropriations
SCR 0008 of 2021,Senate Concurrent Resolution,"A concurrent resolution to oppose policies that restrict the autonomy of workers and employers and memorialize the President and Congress of the United States to support and defend the rights and freedoms of workers and employers.Last Action: referred to Committee on Workforce, Trades, and Talent"
SCR 0009 of 2021,Senate Concurrent Resolution,"A concurrent resolution of tribute offered as a memorial for Frank J. Kelley, former Attorney General of Michigan.Last Action: REFERRED TO SECRETARY FOR RECORD"
HCR 0009 of 2021,House Concurrent Resolution,A concurrent resolution to urge the United States Congress to enact legislation returning the residential areas of the District of Columbia back to the state of Maryland.Last Action: referred to Committee on Government Operations
HCR 0010 of 2021,House Concurrent Resolution,A concurrent resolution to create the Joint Select Committee to Investigate Michiganders’ Involvement in the January 6 Attack on the United States Capitol.Last Action: referred to Committee on Government Operations
SCR 0010 of 2021,Senate Concurrent Resolution,A concurrent resolution to affirm our support for the Fourteenth Amendment to the U.S. Constitution.Last Action: REFERRED TO SECRETARY FOR RECORD
SCR 0011 of 2021,Senate Concurrent Resolution,"A concurrent resolution of tribute offered as a memorial for Willis ""Bill"" Clare Bullard, Jr., former member of the House of Representatives and the Senate.Last Action: REFERRED TO SECRETARY FOR RECORD"
HCR 0011 of 2021,House Concurrent Resolution,A concurrent resolution prescribing the legislative schedule.Last Action: adopted by Senate - referred to the Clerk for record
HCR 0012 of 2021,House Concurrent Resolution,"A concurrent resolution to support admitting Washington, D.C. into the Union as a state of the United States of America and to urge the United States Congress to enact legislation granting statehood to the people of Washington, D.C.Last Action: referred to Committee on Government Operations"
SCR 0012 of 2021,Senate Concurrent Resolution,A concurrent resolution to prescribe the legislative schedule.Last Action: REFERRED TO SECRETARY FOR RECORD
SCR 0013 of 2021,Senate Concurrent Resolution,A concurrent resolution to memorialize the Congress of the United States to oppose recommendations to privatize and slow the service of the United States Postal Service.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
HCR 0013 of 2021,House Concurrent Resolution,A concurrent resolution to call on the state of Michigan to act quickly to replace lead service lines that have contaminated drinking water sources in the city of Hamtramck.Last Action: referred to Committee on Natural Resources and Outdoor Recreation
HCR 0014 of 2021,House Concurrent Resolution,A concurrent resolution relative to secondary road patrol funds for counties providing road patrol services to cities and villages.Last Action: adopted by Senate - referred to the Clerk for record
SCR 0014 of 2021,Senate Concurrent Resolution,"A concurrent resolution offered as a memorial for Mark C. Jansen, former member of the House of Representatives and the Senate.Last Action: REFERRED TO SECRETARY FOR RECORD"
SCR 0015 of 2021,Senate Concurrent Resolution,"A concurrent resolution of tribute offered as a memorial for Tom Casperson, former member of the House of Representatives and the Senate.Last Action: REFERRED TO SECRETARY FOR RECORD"
HCR 0015 of 2021,House Concurrent Resolution,A concurrent resolution providing for the final adjournment of the Legislature.Last Action: adopted by Senate - referred to the Clerk for record
