Document,Type,Description
SR 0001 of 2017,Senate Resolution,A resolution notifying the Governor and the House of Representatives that the Senate is ready to proceed with the business of the session.Last Action: ADOPTED
HR 0001 of 2017,House Resolution,"A resolution prescribing the Standing Rules of the House of Representatives.
Last Action: adopted"
HR 0002 of 2017,House Resolution,A resolution to provide for Lee Roberson Chatfield to be Speaker Pro Tempore of the House of Representatives for the Ninety-ninth Legislature.Last Action:  Roll Call # 2 Yeas 108 Nays 0
SR 0002 of 2017,Senate Resolution,A resolution for the adoption of temporary Standing Rules of the Senate.Last Action: ADOPTED
SR 0003 of 2017,Senate Resolution,A resolution to amend the Standing Rules of the Senate.Last Action: ADOPTED
HR 0003 of 2017,House Resolution,"A resolution to provide for the Clerk of the House of Representatives for the Ninety-ninth  Legislature.
Last Action:  Roll Call # 3 Yeas 108 Nays 0"
HR 0004 of 2017,House Resolution,A resolution fixing the hour for daily sessions.Last Action: adopted
SR 0004 of 2017,Senate Resolution,"A resolution recognizing January 22 - January 28, 2017, as Michigan School Choice Week.Last Action: ADOPTED"
SR 0005 of 2017,Senate Resolution,"A Resolution Recognizing February 2017, as Self Care Month.
Last Action: ADOPTED"
HR 0005 of 2017,House Resolution,"A resolution directing the Clerk to notify the Governor that the House of Representatives has assembled and is ready to proceed with the business of the session.
Last Action: adopted"
HR 0006 of 2017,House Resolution,"A resolution directing the Clerk to notify the Senate that the House of Representatives has assembled and is ready to proceed with the business of the session.
Last Action: adopted"
SR 0006 of 2017,Senate Resolution,"A resolution recognizing January 29-February 4, 2017, as Catholic Schools Week.Last Action: ADOPTED"
SR 0007 of 2017,Senate Resolution,"A resolution designating January 30, 2017 as Fred Korematsu Day.Last Action: ADOPTED"
HR 0007 of 2017,House Resolution,"A resolution to declare January 2017 as Finnish-American Heritage Month in the state of Michigan. 
Last Action: adopted"
HR 0008 of 2017,House Resolution,"A resolution to declare January 22-28, 2017, as School Choice Week in the state of Michigan.Last Action: adopted"
SR 0008 of 2017,Senate Resolution,"A resolution to commemorate February 1, 2017, as Blue Star Mother's Day.Last Action: ADOPTED"
SR 0009 of 2017,Senate Resolution,"A resolution proclaiming February 2017, as American Heart Month and February 3, 2017, as Wear Red Day in the state of Michigan.Last Action: ADOPTED"
HR 0009 of 2017,House Resolution,"A resolution to declare January 29-February 4, 2017, as Catholic Schools Week in the state of Michigan.Last Action: adopted"
HR 0010 of 2017,House Resolution,"A resolution to declare January 31, 2017, as Omphalocele Awareness Day in the state of Michigan.  
Last Action: adopted"
SR 0010 of 2017,Senate Resolution,"A resolution recognizing February 4, 2017, as Cancer Prevention Day.Last Action: ADOPTED"
SR 0011 of 2017,Senate Resolution,"A resolution to encourage the United States Forest Service to work on an agreement with the owners of privately held hunting camps on leased acres within the Ottawa National Forest to allow the hunting camps to remain on federal land.Last Action: ADOPTED"
HR 0011 of 2017,House Resolution,"A resolution to commemorate the 180th anniversary of Michigan's statehood and declare January 26, 2017, as Michigan Day in the state of Michigan. 
Last Action: adopted"
HR 0012 of 2017,House Resolution,"A resolution to declare January 30, 2017, as Fred Korematsu Day in the state of Michigan.
Last Action: adopted"
SR 0012 of 2017,Senate Resolution,"A resolution to commemorate February 7-14, 2017, as Congenital Heart Defect Awareness Week.Last Action: ADOPTED"
SR 0013 of 2017,Senate Resolution,"A resolution to condemn the President’s January 27, 2017, executive order as a discriminatory overreach, urge the Department of Homeland Security to comply with federal court orders, and request the President of the United States immediately rescind the executive order.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HR 0013 of 2017,House Resolution,"A resolution to memorialize Congress to repeal the Affordable Care Act.Last Action: referred to Committee on Health Policy"
HR 0014 of 2017,House Resolution,"A resolution to denounce anti-refugee policies and urge the President of the United States to reverse his executive order blocking refugees from entering the United States.Last Action: referred to Committee on Government Operations"
SR 0014 of 2017,Senate Resolution,"A resolution to declare February 14, 2017, as Organ Donor Registry Day.Last Action: ADOPTED"
SR 0015 of 2017,Senate Resolution,"A resolution to recognize the 44th anniversary of the U.S. Supreme Court issuing its ruling in Roe v. Wade.
Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HR 0015 of 2017,House Resolution,"A resolution to declare February 2-8, 2017, as Chicano History Week in the state of Michigan. 
Last Action: adopted"
HR 0016 of 2017,House Resolution,"A resolution to recognize the 44th anniversary of the U.S. Supreme Court Roe v. Wade ruling. 
Last Action: referred to Committee on Government Operations"
SR 0016 of 2017,Senate Resolution,"A resolution to declare February 19, 2017, as Japanese Internment Day of Remembrance.Last Action: ADOPTED"
