Document,Type,Description
SB 0001 of 2025,Senate Bill,Civil rights: public records; applicability of the freedom of information act to the legislature and governor's office; provide for. Amends sec. 2 of 1976 PA 442 (MCL 15.232).  TIE BAR WITH: SB 0002'25Last Action: referred to Committee on Government Operations
SB 0002 of 2025,Senate Bill,"Civil rights: public records; applicability of the freedom of information act to the legislature and governor's office; provide for. Amends secs. 6, 10 & 13 of 1976 PA 442 (MCL 15.236 et seq.) & adds sec. 14a.   TIE BAR WITH: SB 0001'25Last Action: referred to Committee on Government Operations"
SB 0003 of 2025,Senate Bill,"Health: pharmaceuticals; prescription drug cost and affordability review act; create. Creates new act. 
Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0004 of 2025,Senate Bill,"Insurance: health insurers; compliance with the prescription drug cost and affordability review act; require. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406tt.   TIE BAR WITH: SB 0003'25Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0005 of 2025,Senate Bill,"Human services: medical services; compliance with the prescription drug cost and affordability review act; require. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding sec. 109o. 
  TIE BAR WITH: SB 0003'25Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0006 of 2025,Senate Bill,"Labor: fair employment practices; various employer requirements; provide for. Amends secs. 1, 7, 11, 13, 13a, 14, 15, 18 & 19 of 1978 PA 390 (MCL 408.471 et seq.) & adds secs. 13c & 13d. Last Action: REFERRED TO COMMITTEE ON LABOR"
SB 0007 of 2025,Senate Bill,Criminal procedure: sentencing guidelines; sentencing guidelines for certain employer violations; provide for. Amends sec. 14b of 1927 PA 175 (MCL 777.14b).   TIE BAR WITH: SB 0006'25Last Action: REFERRED TO COMMITTEE ON LABOR
SB 0008 of 2025,Senate Bill,"Labor: hours and wages; minimum hourly wage rate; modify Amends secs. 4, 4d & 10 of 2018 PA 337 (MCL 408.934 et seq.). Last Action: received on 02/14/2024"
SB 0009 of 2025,Senate Bill,Education: facilities; requirements concerning restrooms and other certain areas in public schools; modify. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1146a. Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0010 of 2025,Senate Bill,Property: land sales; sale or transfer of real property to foreign entities; prohibit. Amends title & secs. 35 & 36 of 1846 RS 66 (MCL 554.135 & 554.136) & adds sec. 36a. Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0011 of 2025,Senate Bill,Local government: other; local government sanctuary policy prohibition act; create. Creates new act. Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0012 of 2025,Senate Bill,Individual income tax: deductions; definition of dependent; include fetus. Amends sec. 8 of 1967 PA 281 (MCL 206.8). Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0013 of 2025,Senate Bill,Individual income tax: credit; beginning farmer tax credit; provide for. Amends 1967 PA 281 (MCL 206.1 - 206.847) by adding sec. 279. Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0014 of 2025,Senate Bill,Education: athletics; admission fee for high school interscholastic athletic activities; allow for cash as accepted form of payment. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1290. Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0015 of 2025,Senate Bill,"Labor: benefits; earned sick time; modify. Amends secs. 2, 3, 4, 6 & 7 of 2018 PA 338 (MCL 408.962 et seq.). Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE (S-1)"
SB 0016 of 2025,Senate Bill,"Land use: farmland and open space; relinquishment of portion of farmland from agreement or easement; allow to make boundaries more regular. Amends secs. 36103, 36110 & 36111 of 1994 PA 451 (MCL 324.36103 et seq.). Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND AGRICULTURE"
SB 0017 of 2025,Senate Bill,Holidays: other; Diwali; designate as a holiday. Creates new act. Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0018 of 2025,Senate Bill,Children: foster care; conditions on the use of certain benefits for a child in foster care; provide. Amends 1994 PA 203 (MCL 722.951 - 722.960) by adding sec. 8f. Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0019 of 2025,Senate Bill,"Housing: landlord and tenants; tenants rights to repair; provide for. Amends sec. 39 of 1846 RS 66 (MCL 554.139).   TIE BAR WITH: SB 0021'25, SB 0020'25Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES"
SB 0020 of 2025,Senate Bill,"Housing: landlord and tenants; cross-reference to the revised statutes of 1846; remove. Amends sec. 6 of 1978 PA 454 (MCL 554.636).   TIE BAR WITH: SB 0021'25, SB 0019'25Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES"
SB 0021 of 2025,Senate Bill,"Housing: landlord and tenants; prohibition against tenants right to repair; disallow in truth and renting act. Amends secs. 3 & 4 of 1978 PA 454 (MCL 554.633 & 554.634).   TIE BAR WITH: SB 0019'25, SB 0020'25Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES"
SB 0022 of 2025,Senate Bill,Housing: landlord and tenants; return of security deposit by electronic transfer; allow. Amends sec. 9 of 1972 PA 348 (MCL 554.609). Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0023 of 2025,Senate Bill,Land use: land division; number of parcels resulting from division; authorize counties and municipalities to increase. Amends sec. 108 of 1967 PA 288 (MCL 560.108). Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT
SB 0024 of 2025,Senate Bill,Juveniles: juvenile justice services; certain information sharing for research purposes in juvenile justice cases; allow. Amends sec. 9 of 1988 PA 13 (MCL 722.829). Last Action: PLACED ON ORDER OF THIRD READING
SB 0025 of 2025,Senate Bill,"Occupations: vehicles, dealers, and repair facilities; owner of a motor vehicle repair facility to operate an additional facility under the same registration; allow. Amends secs. 2, 13b, 14, 15, 16, 17, 18, 30, 32, 32a, 33 & 40 of 1974 PA 300 (MCL 257.1302 et seq.) & adds sec. 30a. Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS"
SB 0026 of 2025,Senate Bill,Traffic control: driver license; reference to fire protection fund in the natural resources and environmental protection act; remove. Amends sec. 52706 of 1994 PA 451 (MCL 324.52706). Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE
SB 0027 of 2025,Senate Bill,Economic development: Michigan strategic fund; procurement technical assistance center (PTAC); update to APEX Accelerator. Amends sec. 2 of 2006 PA 317 (MCL 125.1972). Last Action: REFERRED TO COMMITTEE OF THE WHOLE
SB 0028 of 2025,Senate Bill,Agriculture: other; requirements for egg-laying hens; revise. Amends sec. 46 of 1988 PA 466 (MCL 287.746). Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0029 of 2025,Senate Bill,"Records: death; commission to investigate racial disparities related to maternal health; create. Amends secs. 2227, 2617, 2617a & 2618 of 1978 PA 368 (MCL 333.2227 et seq.) & adds sec. 2617b.   TIE BAR WITH: SB 0030'25, SB 0032'25Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES"
SB 0030 of 2025,Senate Bill,Civil rights: general discrimination; reporting procedures for mistreatment during perinatal period; provide for. Creates new act. Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0031 of 2025,Senate Bill,Health facilities: hospitals; certain policies on patients who are giving birth; require a hospital to adopt. Amends secs. 20201 & 21513 of 1978 PA 368 (MCL 333.20201 & 333.21513) & adds sec. 21537. Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0032 of 2025,Senate Bill,Insurance: health insurers; provision of information on medical malpractice insurance relating to perinatal care services to the department of health and human services; require on request. Amends sec. 2434 of 1956 PA 218 (MCL 500.2434).   TIE BAR WITH: SB 0029'25Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0033 of 2025,Senate Bill,Probate: patient advocates; withholding life-sustaining treatment for a patient who is pregnant; allow. Amends secs. 5507 & 5509 of 1998 PA 386 (MCL 700.5507 & 700.5509). Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0034 of 2025,Senate Bill,Civil rights: sex discrimination and harassment; definition of sex; modify to include lactating status for employment situations and include pregnancy and lactating status for places of public accommodation or public service. Amends secs. 201 & 301 of 1976 PA 453 (MCL 37.2201 & 37.2301). Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0035 of 2025,Senate Bill,Children: child abuse or child neglect; mandatory reporting of certain events at birth of a child; modify. Amends sec. 3a of 1975 PA 238 (MCL 722.623a). Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0036 of 2025,Senate Bill,"Health: occupations; Michigan essential health provider recruitment strategy; expand to include midwives. Amends secs. 2701, 2705, 2709 & 2723 of 1978 PA 368 (MCL 333.2701 et seq.). Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES"
SB 0037 of 2025,Senate Bill,Insurance: health insurers; coverage for gynecological and perinatal services; require. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406cc. Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0038 of 2025,Senate Bill,Human services: medical services; guidelines for coverage for perinatal and gynecological services; provide for. Amends sec. 109 of 1939 PA 280 (MCL 400.109). Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0039 of 2025,Senate Bill,Human services: medical services; medical assistance coverage for ultrasound procedures and fetal nonstress tests performed in certain locations; provide for. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding secs. 109q & 109r. Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0040 of 2025,Senate Bill,Law enforcement: other; deportation task force; create. Creates new act. Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0041 of 2025,Senate Bill,"Highways: memorial; portion of M-22; designate as the ""Company K Indian Veterans 1st Michigan Sharpshooters Civil War Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2092) by adding sec. 108. Last Action: REFERRED TO COMMITTEE OF THE WHOLE"
SB 0042 of 2025,Senate Bill,Law enforcement: other; law enforcement immigration enforcement support grant; provide for. Creates new act.   TIE BAR WITH: SB 0043'25Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0043 of 2025,Senate Bill,Law enforcement: other; requirement to enforce federal immigration laws; provide for. Creates new act.   TIE BAR WITH: SB 0042'25Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0044 of 2025,Senate Bill,"Crimes: other; illegal immigration; prohibit, and provide penalties. Creates new act. Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
