Document,Type,Description
SB 0001 of 2019 (PA 21 of 2019),Senate Bill,"Insurance: no-fault; coverage and benefits; make miscellaneous changes. Amends secs. 150, 224, 1244, 2038, 2040, 2069, 2105, 2106, 2108, 2111, 2118, 2120, 2151, 3009, 3101, 3101a, 3104, 3107, 3109a, 3111, 3112, 3113, 3114, 3115, 3135, 3142, 3145, 3148, 3151, 3157, 3163, 3172, 3173a, 3174, 3175 & 3177 of 1956 PA 218 (MCL 500.150 et seq.) & adds secs. 261, 271, 2013a, 2111f, 2116b, 2162, 3107c, 3107d, 3107e, 3157a & 3157b & chs. 31A and 63.Last Action: ASSIGNED PA 0021'19 WITH IMMEDIATE EFFECT"
SB 0002 of 2019 (PA 7 of 2019),Senate Bill,"Criminal procedure: forfeiture; asset forfeiture; require a criminal conviction before proceeding. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 7521a.  TIE BAR WITH: HB 4001'19, HB 4002'19Last Action: ASSIGNED PA 0007'19 WITH IMMEDIATE EFFECT"
SB 0003 of 2019 (PA 2 of 2019),Senate Bill,"Civil procedure: evictions; writ of restitution; allow to be executed by a court officer, bailiff, or deputy sheriff, and provide for the removal of personal property. Amends sec. 5744 of 1961 PA 236 (MCL 600.5744).Last Action: ASSIGNED PA 2 WITH IMMEDIATE EFFECT"
SB 0004 of 2019,Senate Bill,Insurance; no-fault; catastrophic claims association; require to disclose actuarial computation used in rate setting. Amends sec. 3104 of 1956 PA 218 (MCL 500.3104).Last Action: REFERRED TO COMMITTEE ON INSURANCE AND BANKING
SB 0005 of 2019,Senate Bill,Insurance: no-fault; fraud prevention authority; create. Amends title & secs. 3330 & 4501 of 1956 PA 218 (MCL 500.3330 & 500.4501) & adds ch. 63.  TIE BAR WITH: SB 0007'19Last Action: REFERRED TO COMMITTEE ON INSURANCE AND BANKING
SB 0006 of 2019,Senate Bill,Traffic control: driver license; operating a motor vehicle without valid driver license; increase penalties and require police officers to take certain actions. Amends secs. 904 & 904a of 1949 PA 300 (MCL 257.904 & 257.904a).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE
SB 0007 of 2019,Senate Bill,"Insurance: no-fault; proof of insurance; enact the vehicle insurance verification act. Creates new act.  TIE BAR WITH: SB 0009'19, SB 0008'19Last Action: REFERRED TO COMMITTEE ON INSURANCE AND BANKING"
SB 0008 of 2019,Senate Bill,Insurance: no-fault; suspension or revocation; allow under vehicle verification act. Amends sec. 227a of 1949 PA 300 (MCL 257.227a).  TIE BAR WITH: SB 0007'19Last Action: REFERRED TO COMMITTEE ON INSURANCE AND BANKING
SB 0009 of 2019,Senate Bill,Insurance: insurers; issuance of automobile insurance; require notification to secretary of state in coordination with vehicle insurance verification act. Amends sec. 3101a of 1956 PA 218 (MCL 500.3101a).Last Action: REFERRED TO COMMITTEE ON INSURANCE AND BANKING
SB 0010 of 2019,Senate Bill,Highways; construction and repair; warranties for all new state pavement construction projects; require. Amends sec. 11 of 1951 PA 51 (MCL 247.661).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE
SB 0011 of 2019,Senate Bill,Insurance; no-fault; catastrophic claims association; provide for rebate of excess fees. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3104a.Last Action: REFERRED TO COMMITTEE ON INSURANCE AND BANKING
SB 0012 of 2019,Senate Bill,"Gaming: horse racing; third party facilitator licenses; provide for. Amends secs. 8, 17, 20 & 22 of 1995 PA 279 (MCL 431.308 et seq.).Last Action: REFERRED TO COMMITTEE ON AGRICULTURE"
