Document,Type,Description
SB 0001 of 2021,Senate Bill,Health: diseases; time limits on emergency orders issued in response to an epidemic; provide for unless extension is approved by the legislature and require emergency order to include certain information. Amends sec. 2253 of 1978 PA 368 (MCL 333.2253) & adds sec. 2253a.Last Action: POSTPONED FOR THE DAY
SB 0002 of 2021,Senate Bill,Employment security: benefits; maximum number of unemployment benefit weeks; increase. Amends sec. 27 of 1936 (Ex Sess) PA 1 (MCL 421.27).Last Action: REFERRED TO COMMITTEE ON ECONOMIC AND SMALL BUSINESS DEVELOPMENT
SB 0003 of 2021,Senate Bill,Individual income tax: retirement or pension benefits; 3-tier limitations and restrictions on deduction for retirement or pension benefits based on taxpayer's age; eliminate. Amends sec. 30 of 1967 PA 281 (MCL 206.30).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0004 of 2021,Senate Bill,Highways: construction and repair; warranties for all new state pavement construction projects; require. Amends sec. 11 of 1951 PA 51 (MCL 247.661).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE
SB 0005 of 2021,Senate Bill,"Fireworks: use; number of days fireworks are permitted; modify, and increase penalties for violations. Amends secs. 7 & 12 of 2011 PA 256 (MCL 28.457 & 28.462).Last Action: REFERRED TO COMMITTEE ON REGULATORY REFORM"
SB 0006 of 2021,Senate Bill,Health occupations: health professionals; definition of invasive bodily examination; add. Amends secs. 16105 & 16016 of 1978 PA 368 (MCL 333.16105 & 333.16106).  TIE BAR WITH: SB 0007'21Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY AND HUMAN SERVICES
SB 0007 of 2021,Senate Bill,Health occupations: health professionals; invasive bodily examinations; prohibit under certain circumstances. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 16279.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY AND HUMAN SERVICES
SB 0008 of 2021 (PA 0196 of 2022),Senate Bill,Elections: absent voters; definition of United States Department of Defense verified electronic signature; provide for. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 18a.  TIE BAR WITH: SB 0311'21Last Action: ASSIGNED PA 0196'22 WITH IMMEDIATE EFFECT
SB 0009 of 2021,Senate Bill,Elections: absent voters; electronic return of absent voter ballots by military voters and their spouses; provide for. Amends sec. 759a of 1954 PA 116 (MCL 168.759a).  TIE BAR WITH: SB 0008'21Last Action: REFERRED TO COMMITTEE ON ELECTIONS
SB 0010 of 2021 (PA 31 of 2021),Senate Bill,Records: veterans; veteran services boards; allow to hold closed sessions when interviewing veterans' applications for benefits. Amends sec. 8 of 1976 PA 267 (MCL 15.268).Last Action: ASSIGNED PA 0031'21 WITH IMMEDIATE EFFECT
SB 0011 of 2021,Senate Bill,Weapons: concealed; concealed pistol licenses; require to be processed during a declared emergency. Amends secs. 5b & 5l of 1927 PA 372 (MCL 28.425b & 28.425l).Last Action: POSTPONED FOR THE DAY
SB 0012 of 2021,Senate Bill,Health facilities: certificate of need; requirement to obtain a certificate of need for catheterization; modify. Amends sec. 22203 of 1978 PA 368 (MCL 333.22203).Last Action: REFERRED TO COMMITTEE OF THE WHOLE
SB 0013 of 2021,Senate Bill,Individual income tax: credit; credit for certain investments in Michigan businesses; provide for. Amends 1967 PA 281 (MCL 206.1 - 206.713) by adding sec. 280.Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0014 of 2021,Senate Bill,Criminal procedure: jurisdiction; venue for prosecution of delivery of a controlled substance causing death; modify. Amends sec. 317a of 1931 PA 328 (MCL 750.317a).   TIE BAR WITH: SB 0015'21Last Action: referred to second reading
SB 0015 of 2021,Senate Bill,Criminal procedure: jurisdiction; jurisdiction for prosecution for delivery of controlled substance causing death; modify. Amends 1927 PA 175 (MCL 760.1 - 777.69) by adding sec. 5a to ch. II.Last Action: referred to second reading
SB 0016 of 2021 (PA 0014 of 2021),Senate Bill,Housing: inspection; change of ownership; exclude certain transfers. Amends sec. 125 of 1917 PA 167 (MCL 125.525).Last Action: ASSIGNED PA 0014'21 WITH IMMEDIATE EFFECT
SB 0017 of 2021,Senate Bill,Public employees and officers: other; 1968 PA 317 regarding contracts of public servants with public entities; modify certain population thresholds. Amends sec. 3a of 1968 PA 317 (MCL 15.323a).Last Action: POSTPONED FOR THE DAY
SB 0018 of 2021,Senate Bill,"Health occupations: physical therapists; physical therapy licensure compact; enact. Amends sec. 17801 of 1978 PA 368 (MCL 333.17801) & adds secs. 16188, 17820a & 17820b.Last Action: referred to second reading"
SB 0019 of 2021,Senate Bill,Health occupations: emergency medical services personnel; special volunteer license for certain retired EMS personnel; provide for. Amends 1978 PA 368 (MCl 333.1101 - 333.25211) by adding sec. 20955.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY AND HUMAN SERVICES
SB 0020 of 2021,Senate Bill,Education: financing; permissible use of sinking funds; expand to include school bus purchasing. Amends sec. 1212 of 1976 PA 451 (MCL 380.1212).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0021 of 2021,Senate Bill,Public employees and officers: ethics; former members of the legislature; prohibit from engaging in certain lobbying activities for a period of time. Amends sec. 6a of 1978 PA 472 (MCL 4.416a) & adds sec. 6b.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0022 of 2021,Senate Bill,Property tax: millage; millage elections; limit to November elections. Amends secs. 24f & 36 of 1893 PA 206 (MCL 211.24f & 211.36).Last Action: REFERRED TO COMMITTEE ON ELECTIONS
SB 0023 of 2021,Senate Bill,"Elections: school; millage elections; limit to November elections. Amends secs. 312, 641 & 821 of 1954 PA 116 (MCL 168.312 et seq.).  TIE BAR WITH: SB 0022'21Last Action: REFERRED TO COMMITTEE ON ELECTIONS"
SB 0024 of 2021,Senate Bill,Individual income tax: retirement or pension benefits; 3-tier limitations and restrictions on deduction for retirement or pension benefits based on taxpayer's age; eliminate. Amends sec. 30 of 1967 PA 281 (MCL 206.30).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0025 of 2021 (PA 120 of 2021),Senate Bill,Individual income tax: deductions; student loan forgiveness for disabled veterans under the total and permanent disability discharge program; provide for. Amends sec. 30 of 1967 PA 281 (MCL 206.30).Last Action: ASSIGNED PA 0120'21 WITH IMMEDIATE EFFECT
SB 0026 of 2021,Senate Bill,Appropriations: zero budget; supplemental appropriations; provide for fiscal year 2019-2020. Creates appropriation act.Last Action: referred to Committee on Appropriations
SB 0027 of 2021 (PA 67 of 2021),Senate Bill,Appropriations: zero budget; supplemental appropriations; provide for fiscal year 2020-2021. Creates appropriation act.Last Action: ASSIGNED PA 0067'21 WITH IMMEDIATE EFFECT
SB 0028 of 2021 (PA 0065 of 2021),Senate Bill,Appropriations: zero budget; supplemental appropriations; provide for multi-year supplemental. Creates appropriation act.Last Action: ASSIGNED PA 0065'21 WITH IMMEDIATE EFFECT
SB 0029 of 2021,Senate Bill,"Appropriations: supplemental; supplemental appropriations for 2019-2020 and 2020-2021; provide for. Amends secs. 11, 11n, 31d & 31f of 1979 PA 94 (MCL 388.1611 et seq.) & adds secs. 11o & 23d.Last Action: POSTPONED FOR THE DAY"
SB 0030 of 2021 (PA 1 of 2021),Senate Bill,"Highways: memorial; portion of I-94 in Wayne County; designate as the ""Firefighter Coleman A. Tate Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2083) by adding sec. 1070a.Last Action: ASSIGNED PA 0001'21 WITH IMMEDIATE EFFECT"
SB 0031 of 2021,Senate Bill,Insurance: producers; continuing education credit carryover system for insurance producers who belong to a professional insurance association; provide for. Amends sec. 1204c of 1956 PA 218 (MCL 500.1204c).Last Action: REFERRED TO COMMITTEE ON INSURANCE AND BANKING
SB 0032 of 2021,Senate Bill,Transportation: motor fuel tax; fuel tax; require to be dispersed to county where fuel is pumped. Amends sec. 10 of 1951 PA 51 (MCL 247.660) & adds sec. 10i.Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE
SB 0033 of 2021,Senate Bill,"Health facilities: nursing homes; electronic monitoring devices in nursing homes; allow under certain circumstances. Amends secs. 20199, 21702 & 21703 of 1978 PA 368 (MCL 333.20199 et seq.) & adds secs. 21788, 21788a, 21788b, 21788c, 21788d, 21788e, 21788f, 21788g & 21788h.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY AND HUMAN SERVICES"
SB 0034 of 2021,Senate Bill,Weapons: firearms; firearms in the state capitol; prohibit. Amends sec. 234d of 1931 PA 328 (MCL 750.234d).  TIE BAR WITH: SB 0035'21Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0035 of 2021,Senate Bill,Weapons: concealed; concealed pistols in state capitol: prohibit. Amends sec. 5o of 1927 PA 372 (MCL 28.425o).  TIE BAR WITH: SB 0034'21Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0036 of 2021,Senate Bill,Appropriations: zero budget; supplemental appropriations; provide for fiscal year 2020-2021. Creates appropriation act.Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE (S-2)
SB 0037 of 2021 (PA 30 of 2021),Senate Bill,Appropriations: zero budget; supplemental appropriations; provide for fiscal year 2020-2021. Creates appropriation act.Last Action: ASSIGNED PA 0030'21 WITH IMMEDIATE EFFECT
SB 0038 of 2021,Senate Bill,Appropriations: zero budget; supplemental appropriations; provide for fiscal year 2020-2021. Creates appropriation act.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0039 of 2021,Senate Bill,Highways: construction and repair; actions against county road commissions for highway defects; clarify that they are subject to governmental immunity act. Amends sec. 21 of 1909 PA 283 (MCL 224.21).Last Action: POCKET VETO 01/11/2023
SB 0040 of 2021,Senate Bill,Public employees and officers: other; individuals holding multiple local elected offices; prohibit under certain circumstances. Amends title & sec. 2 of 1978 PA 566 (MCL 15.182).Last Action: SENATOR REMOVED AS SPONSOR: ROGER VICTORY
SB 0041 of 2021,Senate Bill,Law enforcement: peace officers; authority for park and recreation officers to enforce certain marihuana-related offenses; provide for. Amends sec. 1606 of 1994 PA 451 (MCL 324.1606).Last Action: REFERRED TO COMMITTEE ON REGULATORY REFORM
SB 0042 of 2021,Senate Bill,Construction: code; buildings used for agricultural tourism activities; exempt from code regulations. Amends sec. 10 of 1972 PA 230 (MCL 125.1510). Last Action: REFERRED TO COMMITTEE ON REGULATORY REFORM
SB 0043 of 2021,Senate Bill,Torts: governmental immunity; liability for highway defects; clarify that governmental tort liability act applies to county road commissions. Amends sec. 2 of 1964 PA 170 (MCL 691.1402).Last Action: POCKET VETO 01/11/2023
SB 0044 of 2021,Senate Bill,Labor: fair employment practices; absence from work to respond to an emergency as an emergency responder; protect from adverse employment action. Creates new act.Last Action: REFERRED TO COMMITTEE ON ECONOMIC AND SMALL BUSINESS DEVELOPMENT
SB 0045 of 2021,Senate Bill,Vehicles: registration plates; legacy license plate; create. Amends sec. 803r of 1949 PA 300 (MCL 257.803r) & adds sec. 803s. Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE
SB 0046 of 2021,Senate Bill,Property tax: exemptions; eligible broadband equipment; exempt from personal property tax. Amends 1893 PA 206 (MCL 211.1 - 211. 155) by adding sec. 9p.Last Action: VETO OVERRIDE DEFEATED ROLL CALL # 189 YEAS 20 NAYS 15 EXCUSED 1 NOT VOTING 0
SB 0047 of 2021,Senate Bill,Environmental protection: cleanups; provision related to environmental remediation; eliminate limitation periods. Amends secs. 20138 & 20140 of 1994 PA 451 (MCL 324.20138 & 324.20140).Last Action: REFERRED TO COMMITTEE ON ENVIRONMENTAL QUALITY
SB 0048 of 2021 (PA 88 of 2021),Senate Bill,"Highways: memorial; portion of I-94 in Berrien County; designate as the ""Kevin D. White Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2091) by adding sec. 110.Last Action: ASSIGNED PA 0088'21 WITH IMMEDIATE EFFECT"
SB 0049 of 2021 (PA 0020 of 2021),Senate Bill,Liquor: permits; an on-premises tasting room and an off-premises tasting room held at same location; allow under certain conditions. Amends sec. 536 of 1998 PA 58 (MCL 436.1536).Last Action: ASSIGNED PA 0020'21 WITH IMMEDIATE EFFECT
SB 0050 of 2021,Senate Bill,Crimes: animals; knowingly providing an animal to another individual who intends to abuse or mistreat the animal; prohibit. Amends secs. 49 & 50 of 1931 PA 328 (MCL 750.49 & 750.50).  TIE BAR WITH: SB 0051'21Last Action: REFERRED TO COMMITTEE ON JUDICIARY AND PUBLIC SAFETY
SB 0051 of 2021,Senate Bill,"Criminal procedure: sentencing guidelines; sentencing guidelines for crimes of animal cruelty; amend. Amends sec. 16b, ch. XVII of 1927 PA 175 (MCL 777.16b).  TIE BAR WITH: SB 0050'21Last Action: REFERRED TO COMMITTEE ON JUDICIARY AND PUBLIC SAFETY"
SB 0052 of 2021,Senate Bill,Appropriations: supplemental; supplemental appropriations for fiscal year 2020-2021; provide for. Creates appropriation act.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0053 of 2021,Senate Bill,"Elections: recounts; provisions regarding election precincts that cannot be recounted; remove. Amends secs. 867, 871, 874 & 881 of 1954 PA 116 (MCL 168.867 et seq.).Last Action: REFERRED TO COMMITTEE ON ELECTIONS"
SB 0054 of 2021,Senate Bill,Environmental protection: air pollution; civil and administrative fines; utilize to benefit communities affected by pollution. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 5534.Last Action: REFERRED TO COMMITTEE ON ENVIRONMENTAL QUALITY
SB 0055 of 2021,Senate Bill,Appropriations: supplemental; supplemental for Saginaw Valley State University Brown Hall renovation; provide for. Creates appropriation act.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0056 of 2021,Senate Bill,Education: teachers; performance evaluation systems for public school teachers and school administrators; modify. Amends secs. 1248 & 1249 of 1976 PA 451 (MCL 380.1248 & 380.1249).  TIE BAR WITH: SB 0057'21Last Action: REFERRED TO COMMITTEE ON EDUCATION AND CAREER READINESS
SB 0057 of 2021,Senate Bill,Education: employees; performance evaluation systems for school administrators; modify. Amends secs. 1249b & 1250 of 1976 PA 451 (MCL 380.1249b & 380.1250).  TIE BAR WITH: SB 0056'21Last Action: REFERRED TO COMMITTEE ON EDUCATION AND CAREER READINESS
SB 0058 of 2021,Senate Bill,"Environmental protection: cleanups; cleanup to residential and safe drinking water standards; require unless technically infeasible. Amends secs. 20118, 20120a, 20120b, 20120e & 20121 of 1994 PA 451 (MCL 324.20118 et seq.).Last Action: REFERRED TO COMMITTEE ON ENVIRONMENTAL QUALITY"
