Document,Type,Description
SCR 0001 of 2005,Senate Concurrent Resolution,A concurrent resolution granting authority for adjournment for more than 2 days.Last Action: REFERRED TO SECRETARY FOR RECORD
HCR 0001 of 2005,House Concurrent Resolution,A concurrent resolution providing for a joint convention of the House of Representatives and the Senate.Last Action: adopted by Senate - referred to the Clerk for record
HCR 0002 of 2005,House Concurrent Resolution,"A concurrent resolution to memorialize the United States Senate to begin confirmation hearings before the Senate Judiciary Committee on Michigan nominees to the United States Sixth Circuit Court of Appeals and to urge the full Senate to hold a vote on the nominees.

Last Action: referred to Committee on Government Operations"
SCR 0002 of 2005,Senate Concurrent Resolution,A concurrent resolution prescribing the Joint Convention Rules for the Legislature.Last Action: REFERRED TO SECRETARY FOR RECORD
SCR 0003 of 2005,Senate Concurrent Resolution,A concurrent resolution prescribing the Joint Rules of the Senate and House of Representatives.Last Action: REFERRED TO SECRETARY FOR RECORD
HCR 0003 of 2005,House Concurrent Resolution,"A concurrent resolution to memorialize the Congress of the United States to reject plans to privatize Social Security by cutting Social Security’s guaranteed benefits and diverting money out of Social Security into private investment accounts and to commit to repaying to the Social Security Trust Fund the monies Congress has taken and spent for other purposes.

Last Action: referred to Committee on Government Operations"
HCR 0004 of 2005,House Concurrent Resolution,"A resolution to memorialize Congress to enact highway reauthorization legislation with a level of funding that closes the gap between federal fuel tax dollars paid by Michigan motorists and dollars received to address Michigan’s transportation needs.

Last Action: adopted by Senate - referred to the Clerk for record"
SCR 0004 of 2005,Senate Concurrent Resolution,A concurrent resolution to memorialize the United States Senate and Michigan's United States Senators to hold confirmation hearings and to have a vote by the full Senate on the Michigan nominees to the United States Sixth Circuit Court of Appeals.Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SCR 0005 of 2005,Senate Concurrent Resolution,A concurrent resolution to memorialize the Congress of the United States to preserve Social Security and to refrain from privatizing any component of this program.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
HCR 0005 of 2005,House Concurrent Resolution,"A concurrent resolution to memorialize the United States Congress to enact legislation to provide that Michigan will receive a minimum of 95 percent of transportation funds it sends to the federal government.

Last Action: referred to Committee on Transportation"
HCR 0006 of 2005,House Concurrent Resolution,"A concurrent resolution to urge the United States Department of Energy and the Nuclear Regulatory Commission to fulfill their obligation to establish a permanent repository for high-level nuclear waste.

Last Action: referred to Committee on Energy and Technology"
SCR 0006 of 2005,Senate Concurrent Resolution,A concurrent resolution to memorialize the Congress of the United States and the federal government to work with Michigan officials to align the ownership of mineral rights and surface rights on state and federal lands in Michigan and express our intent to take actions to achieve this goal.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS
SCR 0007 of 2005,Senate Concurrent Resolution,"A concurrent resolution offered as a memorial for John T. Bowman, former member of the Senate and the House of Representatives.

Last Action: REFERRED TO SECRETARY FOR RECORD"
HCR 0007 of 2005,House Concurrent Resolution,A concurrent resolution prescribing the legislative schedule.Last Action: adopted by Senate - referred to the Clerk for record
HCR 0008 of 2005,House Concurrent Resolution,"A concurrent resolution to urge the United States Nuclear Regulatory Commission to extend the operating license of the Palisades Nuclear Power Plant.
Last Action: adopted by Senate - referred to the Clerk for record"
SCR 0008 of 2005,Senate Concurrent Resolution,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease among the State of Michigan, the State Building Authority, and the Board of Trustees of Michigan State University relative to the Michigan State University Animal Health Diagnostic Laboratory.

Last Action: REFERRED TO SECRETARY FOR RECORD"
SCR 0009 of 2005,Senate Concurrent Resolution,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease among the State of Michigan, the State Building Authority, and Central Michigan University relative to the Central Michigan University Health Professions Building.

Last Action: REFERRED TO SECRETARY FOR RECORD"
HCR 0009 of 2005,House Concurrent Resolution,"A concurrent resolution to urge the United States Nuclear Regulatory Commission to extend the operating license of the D.C. Cook Nuclear Power Plant.
Last Action: adopted by Senate - referred to the Clerk for record"
HCR 0010 of 2005,House Concurrent Resolution,"A concurrent resolution to memorialize Congress to enact legislation allowing the Department of Commerce (DOC) to help shield children by establishing and requiring the .xxx domain name for adult-only web sites.

Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SCR 0010 of 2005,Senate Concurrent Resolution,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease among the State of Michigan, the State Building Authority, and the Regents of the University of Michigan relative to the University of Michigan – Ann Arbor Central Campus Renovation Phase II – Mason Hall and Haven Hall.

Last Action: REFERRED TO SECRETARY FOR RECORD"
SCR 0011 of 2005,Senate Concurrent Resolution,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease between the State of Michigan and the State Building Authority relative to the Department of Management and Budget Roosevelt Parking Facility.

Last Action: REFERRED TO SECRETARY FOR RECORD"
HCR 0011 of 2005,House Concurrent Resolution,"A concurrent resolution to urge the United States Coast Guard to immediately eliminate the ""No Ballast on Board"" (NOBOB) exemption from regulations on ballast water management and require all ships with ballast tanks that enter the Great Lakes to conform to all regulations for ballast water management in federal law.Last Action: re-referred to Committee on Natural Resources, Great Lakes, Land Use, and Environment"
HCR 0012 of 2005,House Concurrent Resolution,"A concurrent resolution to memorialize the Congress of the United States to increase the number of workers allowed into this country under the H2B visa program.
Last Action: referred to Committee on Government Operations"
SCR 0012 of 2005,Senate Concurrent Resolution,"A concurrent resolution to memorialize Congress to enact highway reauthorization legislation with a level of funding that closes the gap between federal fuel tax dollars paid by Michigan motorists and dollars received to address Michigan’s transportation needs.

Last Action: REFERRED TO SECRETARY FOR RECORD"
SCR 0013 of 2005,Senate Concurrent Resolution,"A concurrent resolution to increase the total project cost of the General Campus Renovations project at St. Clair Community College.

Last Action: REFERRED TO SECRETARY FOR RECORD"
HCR 0013 of 2005,House Concurrent Resolution,"A concurrent resolution to urge the Congress of the United States to take every possible action to promote and diversify the automotive and machine tool sectors of our national economy.
Last Action: motion to discharge committee rejected"
HCR 0014 of 2005,House Concurrent Resolution,"A concurrent resolution memorializing the United States Congress to pass H.R. 2353, the Common Sense Indian Gambling Reform Act.
Last Action: referred to Committee on Commerce"
SCR 0014 of 2005,Senate Concurrent Resolution,"A concurrent resolution to increase the total project cost of the Iron Ore Museum project for the Department of History, Arts, and Libraries to reflect the receipt of private gift and donation revenues for the purpose of the project.

Last Action: REFERRED TO SECRETARY FOR RECORD"
SCR 0015 of 2005,Senate Concurrent Resolution,"A concurrent resolution to reappoint Thomas H. McTavish, C.P.A., as Auditor General. 

Last Action: REFERRED TO SECRETARY FOR RECORD"
HCR 0015 of 2005,House Concurrent Resolution,"A concurrent resolution to request the President of the United States to direct the United States Attorney General and the Chairman of the Federal Trade Commission to investigate all potential price gouging, price fixing, collusion, and other anticompetitive practices related to gasoline prices and memorializing Congress to pass and the President to sign legislation to cap oil profits and using federal anti-trust laws to prosecute any companies violating the law by reaping unlawful proft.
Last Action: postponed for the day"
HCR 0016 of 2005,House Concurrent Resolution,A concurrent resolution to create a tax expenditure joint study committee to make recommendations on the effectiveness and cost of tax expenditures in Michigan.Last Action: referred to Committee on Government Operations
SCR 0016 of 2005,Senate Concurrent Resolution,"A concurrent resolution to memorialize the President of the United States, the United States Congress, and the Base Realignment and Closure Commission to validate the requirement for Michigan military facilities being examined during the current round of the Base Realignment and Closure process.Last Action: referred to Committee on Veterans Affairs and Homeland Security"
SCR 0017 of 2005,Senate Concurrent Resolution,"A concurrent resolution to urge the United States Coast Guard to immediately eliminate the ""No Ballast on Board"" (NOBOB) exemption from regulations on ballast water management and require all ships with ballast tanks that enter the Great Lakes to conform to all regulations for ballast water management in federal law.
Last Action: referred to Committee on Natural Resources, Great Lakes, Land Use, and Environment"
HCR 0017 of 2005,House Concurrent Resolution,"A concurrent resolution to memorialize the Congress of the United States to adopt and present to the states for ratification an amendment to the United States Constitution that would provide that only citizens may be counted for purposes of determining congressional representation among the states.
Last Action: referred to Committee on Government Operations"
HCR 0018 of 2005,House Concurrent Resolution,A concurrent resolution to amend the Joint Rules of the Senate and House of Representatives.Last Action: adopted by Senate - referred to the Clerk for record
SCR 0018 of 2005,Senate Concurrent Resolution,"A concurrent resolution to change the scope of the Macomb Community College Fraser Building Renovation project to the Emergency Services Training Center expansion project and to increase the project cost.
Last Action: REFERRED TO SECRETARY FOR RECORD"
SCR 0019 of 2005,Senate Concurrent Resolution,A concurrent resolution to urge President Bush and the United States Congress to reverse proposed budget cuts to federal funding for anti-methamphetamine programs.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
HCR 0019 of 2005,House Concurrent Resolution,"A concurrent resolution to express opposition to any new or revised administrative rules that are more stringent than federal policies and that impede economic development and job creation.
Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM"
HCR 0020 of 2005,House Concurrent Resolution,"A concurrent resolution to recognize the Vietnamese Freedom and Heritage Flag as the flag of the Vietnamese-American community.
Last Action: referred to Committee on Government Operations"
SCR 0020 of 2005,Senate Concurrent Resolution,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease among the State of Michigan, the State Building Authority, and Kellogg Community College relative to the Kellogg Community College Roll Building Renovation project.
Last Action: REFERRED TO SECRETARY FOR RECORD"
SCR 0021 of 2005,Senate Concurrent Resolution,A concurrent resolution to urge the Federal Communications Commission (FCC) to use its authority posthaste to require that Voice Over Internet Protocol (VOIP) service providers make enhanced 9-1-1 emergency call services available to all customers.Last Action: REFERRED TO COMMITTEE ON TECHNOLOGY AND ENERGY
HCR 0021 of 2005,House Concurrent Resolution,"A concurrent resolution to express our support for keeping ""under God"" in the Pledge of Allegiance to the United States flag.
Last Action: referred to Committee on Government Operations"
HCR 0022 of 2005,House Concurrent Resolution,"A concurrent resolution to express to the United States Congress the resolve of the people of Michigan to continue using the words ""under God"" in the Pledge of Allegiance to the United States flag.
Last Action: referred to Committee on Government Operations"
SCR 0022 of 2005,Senate Concurrent Resolution,"A concurrent resolution to memorialize the Congress of the United States and the United States Department of Agriculture (USDA) to provide assistance in the effort to mitigate the infestation of the Emerald Ash Borer.
Last Action: referred to Committee on Agriculture"
SCR 0023 of 2005,Senate Concurrent Resolution,"A concurrent resolution memorializing the United States Congress to pass H.R. 2353, the Common Sense Indian Gambling Reform Act.
Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HCR 0023 of 2005,House Concurrent Resolution,"A concurrent resolution to memorialize the Congress of the United States and urge the President of the United States to lift the current United States embargo on Cuba and to restore full diplomatic relations with Cuba.
Last Action: motion to discharge committee rejected"
HCR 0024 of 2005,House Concurrent Resolution,"A concurrent resolution urging the Congress and the President of the United States to increase the funding of the Low Income Home Energy Assistance Program.
Last Action: notice given to discharge committee"
SCR 0024 of 2005,Senate Concurrent Resolution,"A concurrent resolution to urge the United States Coast Guard to continue to operate a cutter ship out of Charlevoix.
Last Action: REFERRED TO SECRETARY FOR RECORD"
SCR 0025 of 2005,Senate Concurrent Resolution,"A concurrent resolution memorializing the Congress of the United States to oppose the SMART Act, which would create mandatory federal standards and regulation of insurance.
Last Action: REFERRED TO COMMITTEE ON BANKING AND FINANCIAL INSTITUTIONS"
HCR 0025 of 2005,House Concurrent Resolution,"A concurrent resolution to urge the Great Lakes Regional Collaboration and the United States Congress to implement the Action Plan to Restore and Protect the Great Lakes.
Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS"
HCR 0026 of 2005,House Concurrent Resolution,"A resolution to memorialize the Congress of the United States to work to pass and vote for the immediate and permanent repeal of the death tax.
Last Action: referred to Committee on Tax Policy"
SCR 0026 of 2005,Senate Concurrent Resolution,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease between the State of Michigan and the State Building Authority relative to the Department of Corrections Kinross Correctional Facility New Power Plant.
Last Action: REFERRED TO SECRETARY FOR RECORD"
SCR 0027 of 2005,Senate Concurrent Resolution,"A concurrent resolution to express opposition to the study and construction of an international border crossing in the Downriver area.

Last Action: referred to Committee on Transportation"
HCR 0027 of 2005,House Concurrent Resolution,"A concurrent resolution to urge the Michigan Women's Commission to ensure that its programs and activities are strictly nonpartisan.
Last Action: referred to Committee on House Oversight, Elections, and Ethics"
SCR 0028 of 2005,Senate Concurrent Resolution,"A concurrent resolution to increase the total project cost of the Department of Corrections Riverside Correctional Facility Power Plant Automation project.
Last Action: REFERRED TO SECRETARY FOR RECORD"
SCR 0029 of 2005,Senate Concurrent Resolution,"A concurrent resolution to express our strong disappointment with the September 14, 2005, federal District Court ruling that reciting the Pledge of Allegiance in a public school is unconstitutional.
Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SCR 0030 of 2005,Senate Concurrent Resolution,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease among the State of Michigan, the State Building Authority, and the Regents of the University of Michigan relative to the University of Michigan-Dearborn Hubbard Drive Professional Training and Education Building Acquisition (Phase II) Engineering and Science Building Renovations Engineering Laboratory Building Addition.
Last Action: REFERRED TO SECRETARY FOR RECORD"
SCR 0031 of 2005,Senate Concurrent Resolution,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease among the State of Michigan, the State Building Authority, and the Regents of the University of Michigan relative to the University of Michigan-Dearborn Hubbard Drive Professional Training and Education Building Acquisition (Phase II) Engineering and Science Building Renovations Science Building Addition.
Last Action: REFERRED TO SECRETARY FOR RECORD"
SCR 0032 of 2005,Senate Concurrent Resolution,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease among the State of Michigan, the State Building Authority, and the Regents of the University of Michigan relative to the University of Michigan-Ann Arbor Central Campus Renovations Phase II Literature, Science, and the Arts Building.
Last Action: REFERRED TO SECRETARY FOR RECORD"
SCR 0033 of 2005,Senate Concurrent Resolution,"A concurrent resolution to urge the Michigan Supreme Court to take whatever steps are necessary to maintain the status quo, with regard to same-sex benefits, that was in place prior to the September 28, 2005, 30th Circuit Court ruling in order to prevent the spending of taxpayer monies to fund benefits for homosexual unions until the court has reached a final adjudication.Last Action: referred to Committee on Employment Relations, Training, and Safety"
SCR 0034 of 2005,Senate Concurrent Resolution,A concurrent resolution to urge the Great Lakes Regional Collaboration and the United States Congress to implement the Action Plan to Restore and Protect the Great Lakes.Last Action: REFERRED TO SECRETARY FOR RECORD
SCR 0035 of 2005,Senate Concurrent Resolution,"A concurrent resolution to urge the Governor to put into effect emergency event simulations and formally report results to the Legislature subsequent to the results of each exercise.
Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
