Document,Type,Description
SR 0001 of 2007,Senate Resolution,A resolution notifying the Governor and the House of Representatives that the Senate is ready to proceed with the business of the session.Last Action: ADOPTED
HR 0001 of 2007,House Resolution,"A resolution prescribing the Standing Rules of the House of Representatives.
Last Action: adopted"
HR 0002 of 2007,House Resolution,A resolution to provide for officers of the House of Representatives for the Ninety-fourth Legislature.Last Action: adopted
SR 0002 of 2007,Senate Resolution,A resolution for the adoption of the Standing Rules of the Senate.Last Action: ADOPTED
SR 0003 of 2007,Senate Resolution,"A resolution of tribute offered as a memorial for Gerald R. Ford, the 38th President of the United States.

Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
HR 0003 of 2007,House Resolution,A resolution to provide for the Clerk of the House of Representatives for the Ninety-fourth Legislature.Last Action: adopted
HR 0004 of 2007,House Resolution,A resolution fixing the hour for daily sessions.Last Action: adopted
SR 0004 of 2007,Senate Resolution,A resolution honoring Charles Thornhill.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS
SR 0005 of 2007,Senate Resolution,"A resolution recognizing January 28, 2007 - February 3, 2007, as Catholic Schools Week in the state of Michigan.Last Action: ADOPTED"
HR 0005 of 2007,House Resolution,A resolution directing the Clerk to notify the Governor that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted
HR 0006 of 2007,House Resolution,A resolution directing the Clerk to notify the Senate that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted
SR 0006 of 2007,Senate Resolution,A resolution honoring Herman C. Coleman in memory of a lifetime of service to the state of Michigan and his service at the national level.Last Action: ADOPTED
SR 0007 of 2007,Senate Resolution,"A resolution proclaiming February 2, 2007, as Wear Red for Women Day.Last Action: ADOPTED"
HR 0007 of 2007,House Resolution,"A resolution of tribute offered as a memorial for President Gerald R. Ford.

Last Action: adopted by unanimous standing vote"
HR 0008 of 2007,House Resolution,"A resolution to commemorate February 2, 2007, as Give Kids a Smile Day in the state of Michigan.Last Action: adopted"
SR 0008 of 2007,Senate Resolution,"A resolution to memorialize the United States Congress, the Department of Energy, and the Nuclear Regulatory Commission to work diligently to open the Yucca Mountain Federal Repository for high-level radioactive waste so that the Michigan Department of Natural Resources can acquire and use the former site of the Big Rock Point nuclear power plant for park and recreation purposes in a safe manner.

Last Action: REFERRED TO COMMITTEE ON ENERGY POLICY"
SR 0009 of 2007,Senate Resolution,"A resolution of tribute offered to honor Jerry Lawler, Executive Director of the Capitol Committee and Director of the Legislative Council Facilities Agency.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
