doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
13sb0001,SB 0001 of 2013,NA,NA,2013-2014,SB,Labor,fair employment practices,Labor; fair employment practices; protections regarding employee misclassification; provide for. Creates new act.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SB-0001,FALSE
13sb0002,SB 0002 of 2013,NA,NA,2013-2014,SB,Occupations,nurses,"Occupations; nurses; advanced practice registered nurse (a.p.r.n.); establish license for nurse midwives, nurse practitioners, and clinical nurse specialists and provide other general amendments. Amends secs. 2701,  5119, 16125, 16161, 16163, 16216, 16231, 16231a, 16327, 17201, 17210, 17211, 17212, 17221, 17607, 17708, 17745, 17820, 17822, 18301 & 20201 of 1978 PA 368 (MCL 333.2701 et seq.) & adds secs. 17202, 17210a, 17211a, 17214 & 17221a.Last Action: referred to Committee on Health Policy",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SB-0002,FALSE
13sb0003,SB 0003 of 2013,NA,NA,2013-2014,SB,Insurance,other,Insurance; other; prepayment of tax credit; provide for. Amends sec. 476a of 1956 PA 218 (MCL 500.476a).Last Action: REFERRED TO COMMITTEE ON FINANCE,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SB-0003,FALSE
13sb0004,SB 0004 of 2013,NA,NA,2013-2014,SB,Insurance,prudent purchaser agreements,Insurance; prudent purchaser agreements; authority to refuse reimbursement for certain chiropractic services; eliminate. Amends sec. 3 of 1984 PA 233 (MCL 550.53).Last Action: REFERRED TO COMMITTEE ON INSURANCE,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SB-0004,FALSE
13sb0005,SB 0005 of 2013,NA,NA,2013-2014,SB,Vehicles,fund-raising registration plates,"Vehicles; fund-raising registration plates; fund-raising registration plate for ""Calvin College""; create. Amends 1949 PA 300 (MCL 257.1 - 257.923) by adding sec. 811v.Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SB-0005,FALSE
13sb0006,SB 0006 of 2013,NA,NA,2013-2014,SB,Sales tax,distribution,Sales tax; distribution; percentage of sales tax collected on motor fuel to be earmarked to transportation funding in 2013 and each year thereafter; establish. Amends sec. 25 of 1933 PA 167 (MCL 205.75).Last Action: notice given to discharge committee,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SB-0006,FALSE
13sb0007,SB 0007 of 2013,NA,NA,2013-2014,SB,Natural resources,other,Natural resources; other; reference to definition of newspaper in natural resources and environmental protection act; revise to reflect repeal of statutory definition. Amends sec. 2133 of 1994 PA 451 (MCL 324.2133).  TIE BAR WITH: SB 0008'13Last Action: referred to second reading,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SB-0007,FALSE
13sb0008,SB 0008 of 2013,NA,NA,2013-2014,SB,Civil procedure,other,Civil procedure; other; methods for publication of legal notices; modify. Amends sec. 1 of 1963 PA 247 (MCL 691.1051) & repeals secs. 1461 & 1950 of 1961 PA 236 (MCL 600.1461 & 600.1950).  TIE BAR WITH: SB 0007'13Last Action: referred to second reading,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SB-0008,FALSE
13sb0009,SB 0009 of 2013,NA,NA,2013-2014,SB,Public utilities,rates,Public utilities; rates; power to set rates for certain water and sewer departments; grant to public service commission. Amends sec. 6 of 1939 PA 3 (MCL 460.6) & adds sec. 6t.Last Action: REFERRED TO COMMITTEE ON ENERGY AND TECHNOLOGY,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SB-0009,FALSE
13sb0010,SB 0010 of 2013,NA,NA,2013-2014,SB,Elections,petitions,Elections; petitions; name of individual or organization providing compensation to a circulator of a ballot question petition; require to be printed on the front of the petition. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 482a.Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2013-SB-0010,FALSE
