Document,Type,Description
SJR A of 2015,Senate Joint Resolution,"Natural resources; hunting; right to hunt, trap, and fish; recognize in constitution. Amends the state constitution by adding sec. 28 to art. I.Last Action: REFERRED TO COMMITTEE ON OUTDOOR RECREATION AND TOURISM"
HJR A of 2015,House Joint Resolution,"Individual income tax; rate; graduated income tax; provide for. Amends sec. 7, art. IX of the state constitution.Last Action: printed joint resolution filed 01/16/2015"
HJR B of 2015,House Joint Resolution,"Constitutional amendments; state; limited support for students with special needs to attend nonpublic schools; allow. Amends sec. 2, art. VIII of the state constitution.Last Action: referred to second reading"
SJR B of 2015,Senate Joint Resolution,Legislature; legislators; compensation of legislators who are absent from legislative session; modify. Amends the state constitution by adding sec. 55 to art. IV.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SJR C of 2015,Senate Joint Resolution,Constitutional amendments; state; Michigan natural resources trust fund; modify allowable expenditures. Amends the state constitution by adding sec. 35 to art. IX.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES
HJR C of 2015,House Joint Resolution,"Legislature; legislators; term limits; revise. Amends sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 01/16/2015"
HJR D of 2015,House Joint Resolution,"Higher education; tuition; in-district tuition rates for active service members and veterans; provide for. Amends sec. 7, art. VIII of the state constitution.Last Action: printed joint resolution filed 01/16/2015"
SJR D of 2015,Senate Joint Resolution,"Constitutional amendments; state; equal amount of per pupil funding for all local school districts; ensure by certain date. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SJR E of 2015,Senate Joint Resolution,"Constitutional amendments; state; operation of public school on for-profit basis; prohibit in state constitution. Amends sec. 2, art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR E of 2015,House Joint Resolution,"Legislature; sessions; part-time legislature; provide for. Amends sec. 13, art. IV of the state constitution.Last Action: printed joint resolution filed 01/28/2015"
HJR F of 2015,House Joint Resolution,"Constitutional amendments; state; equal amount of per pupil funding for all local school districts; ensure by certain date. Amends sec. 11, art. IX of the state constitution.Last Action: printed joint resolution filed 01/28/2015"
SJR F of 2015,Senate Joint Resolution,"Individual income tax; rate; graduated income tax; provide for. Amends sec. 7, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SJR G of 2015,Senate Joint Resolution,"Crimes; homicide; death penalty for first degree murder of a peace officer or corrections officer while in the line of duty; permit. Amends sec. 46, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
