Document,Type,Description
HJR A of 2009,House Joint Resolution,"Legislature; legislators; legislative salaries; modify. Amends sec. 12, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: notice given to discharge committee"
SJR A of 2009,Senate Joint Resolution,"Legislature; sessions; limitation of legislative session and repeal of term limits for legislators first serving in 2011 or later; provide for. Amends secs. 13 & 54, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM"
SJR B of 2009,Senate Joint Resolution,"Elections; school; voting age for school district elections; reduce to 16 years of age under certain circumstances. Amends sec. 1, art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT"
HJR B of 2009,House Joint Resolution,"Constitutional amendments; state; increase in taxable value of property; prohibit if market value is decreasing. Amends sec. 3, art. IX of the state constitution.Last Action: printed joint resolution filed 01/23/2009"
HJR C of 2009,House Joint Resolution,"Higher education; tuition; in-state tuition rates of state universities; limit increases based on CPI in state constitution. Amends secs. 5 & 6, art. VIII & adds sec. 10 to art. VIII of the state constitution.Last Action: printed joint resolution filed 01/23/2009"
SJR C of 2009,Senate Joint Resolution,"Elections; initiative and referendum; filing petition; include a requirement for geographic distribution of signatures. Amends sec. 9, art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT"
SJR D of 2009,Senate Joint Resolution,"Legislature; legislators; legislator called for active military duty; amend constitution to establish temporary replacement. Amends sec. 8, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM"
HJR D of 2009,House Joint Resolution,Legislature; legislators; reduction of pay for legislators who miss session without a valid excuse; provide for. Amends the state constitution by adding sec. 55 to art. IV.Last Action: printed joint resolution filed 01/23/2009
HJR E of 2009,House Joint Resolution,"Property tax; assessments; limitation on taxable value based on change in SEV; amend constitution to provide for. Amends sec. 3, art. IX of the state constitution.Last Action: recommendation concurred in"
SJR E of 2009,Senate Joint Resolution,"Legislature; other; repeal of unconstitutional provisions; provide for. Amends secs. 1 & 6, art. II, secs. 2 & 3, art. IV & sec. 6, art. IX & repeals sec. 10, art. II & secs. 4, 5 & 6 of art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT"
SJR F of 2009,Senate Joint Resolution,"Public employees and officers; constitutional amendment creating the independent redistricting commission; provide for. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM"
HJR F of 2009,House Joint Resolution,Legislature; legislators; reduction in pay for legislators who miss session without an excused absence; provide for. Amends the state constitution by adding sec. 55 to art. IV.Last Action: printed joint resolution filed 01/28/2009
HJR G of 2009,House Joint Resolution,"Property tax; assessments; taxable value; limit increase when market value increases by less than 5% or the rate of inflation. Amends sec. 3, art. IX of the state constitution.Last Action: recommendation concurred in"
SJR G of 2009,Senate Joint Resolution,"Legislature; legislators; term limits and rules regarding chairing legislative committees; modify. Amends secs. 16 & 54, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM"
SJR H of 2009,Senate Joint Resolution,"Property tax; assessments; taxable value; limit increase when market value decreases. Amends sec. 3, art. IX of the state constitution.Last Action: referred to Committee on Tax Policy"
HJR H of 2009,House Joint Resolution,"Constitutional amendments; state; natural resources trust fund; modify allowable expenditures and provide for use of funds to manage land and water resources for recreational uses. Amends sec. 35, art. IX of the state constitution.Last Action: printed joint resolution filed 02/06/2009"
HJR I of 2009,House Joint Resolution,"Property tax; assessments; increase in taxable value upon transfer; limit. Amends sec. 3, art IX of the state constitution.Last Action: printed joint resolution filed 02/12/2009"
