Document,Type,Description
SB 0001 of 2009,Senate Bill,Michigan business tax; rate; surcharge on business tax; phase out. Amends sec. 281 of 2007 PA 36 (MCL 208.1281).Last Action: referred to Committee on Tax Policy
SB 0002 of 2009,Senate Bill,State; other; small business ombudsman and advisory panel; establish. Creates new act.  TIE BAR WITH: SB 0340'09Last Action: referred to Committee on New Economy and Quality of Life
SB 0003 of 2009,Senate Bill,Law; other; definition of individual; specify to include fetus for purposes of statutory interpretation. Amends sec. 3 of 1846 RS 1 (MCL 8.3) & adds sec. 3x.Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0004 of 2009,Senate Bill,Property tax; exemptions; real and personal property leased by nonprofit medical facilities and nonprofit hospitals; provide exemption. Amends sec. 7o of 1893 PA 206 (MCL 211.7o).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0005 of 2009,Senate Bill,Employment security; employers; certain practices in the calculation of contribution rate; prohibit. Amends 1936 (Ex Sess) PA 1 (MCL 421.1 - 421.75) by adding sec. 22c.Last Action: REFERRED TO COMMITTEE ON COMMERCE AND TOURISM
SB 0006 of 2009,Senate Bill,Elections; absent voters; permanent absent voter file; provide for. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 759e.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT
SB 0007 of 2009,Senate Bill,"Elections; initiative and referendum; approval of ballot question petition language prior to circulation, checking petitions for duplicate signatures, and penalizing a circulator for knowingly obtaining a signature through fraud, deceit, or misrepresentation; provide for. Amends secs. 476 & 482 of 1954 PA 116 (MCL 168.476 & 168.482) & adds secs. 473a & 484.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT"
SB 0008 of 2009,Senate Bill,"Financial institutions; banks; location of branches or ATM's near commercial affiliates; restrict. Amends secs. 1201, 1202 & 3711 of 1999 PA 276 (MCL 487.11201 et seq.).Last Action: REFERRED TO COMMITTEE ON BANKING AND FINANCIAL INSTITUTIONS"
SB 0009 of 2009,Senate Bill,Elections; recall; criteria for recall petition; amend. Amends secs. 951 & 952 of 1954 PA 116 (MCL 168.951 & 168.952).Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT
SB 0010 of 2009 (PA 0036 of 2009),Senate Bill,Natural resources; wildlife; taking of raptors for falconry; require department to issue an order establishing season. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 40107b.Last Action: ASSIGNED PA 0036'09 WITH IMMEDIATE EFFECT
SB 0011 of 2009,Senate Bill,Public employees and officers; ethics; travel restrictions; provide for under certain circumstances. Amends secs. 1 & 2 of 1973 PA 196 (MCL 15.341 & 15.342).Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT
SB 0012 of 2009,Senate Bill,"Campaign finance; public disclosure; disclosure of committees and persons who make ""robocalls"" in campaigns; require. Amends sec. 6 of 1976 PA 388 (MCL 169.206) & adds sec. 48.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT"
SB 0013 of 2009,Senate Bill,"Administrative procedure; rules; state office of administrative hearings and rules; require policy posting of revisions and assessment of impact on the rules in the private sector. Amends sec. 45 of 1969 PA 306 (MCL 24.245) & adds sec. 45b.  TIE BAR WITH: SB 0431'09, SB 0434'09Last Action: referred to Committee on Great Lakes and Environment"
SB 0014 of 2009,Senate Bill,Health; occupations; scope of practice for marriage and family therapists; clarify. Amends sec. 16901 of 1978 PA 368 (MCL 333.16901).Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0015 of 2009,Senate Bill,Income tax; other; long-term health care savings account act; create. Creates new act.  TIE BAR WITH: SB 0016'09Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0016 of 2009,Senate Bill,Income tax; deductions; contributions to long-term health care savings account; provide for deduction. Amends sec. 30 of 1967 PA 281 (MCL 206.30).  TIE BAR WITH: SB 0015'09Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0017 of 2009,Senate Bill,Higher education; financial aid; Michigan work-study program; prohibit use at college or university that does not grant in-state tuition to certain military personnel stationed in Michigan and their dependents. Amends sec. 3 of 1986 PA 288 (MCL 390.1373).Last Action: REFERRED TO COMMITTEE ON SENIOR CITIZENS AND VETERANS AFFAIRS
SB 0018 of 2009,Senate Bill,Sales tax; collections; distribution of certain amount of revenue collected restricted to fund for tourism marketing and promotion; provide for. Amends sec. 25 of 1933 PA 167 (MCL 205.75).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0019 of 2009,Senate Bill,Torts; product liability; limitation on liability for drugs that have been approved by federal food and drug administration; rescind. Amends sec. 2946 of 1961 PA 236 (MCL 600.2946).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0020 of 2009,Senate Bill,Occupations; security guards; requirement for bars installed on windows to have an escape latch attached; provide for. Amends sec. 33 of 1968 PA 330 (MCL 338.1083).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT AND REGULATORY REFORM
SB 0021 of 2009 (PA 0206 of 2009),Senate Bill,Elections; judicial; incorrect nominating petition signature information provided to a candidate for the office of judge of the circuit court; provide equitable relief under certain circumstances. Amends sec. 413 of 1954 PA 116 (MCL 168.413).Last Action: ASSIGNED PA 0206'09 WITH IMMEDIATE EFFECT
SB 0022 of 2009 (PA 0207 of 2009),Senate Bill,Elections; judicial; incorrect nominating petition signature information provided to a candidate for the office of judge of the district court; provide equitable relief under certain circumstances. Amends sec. 467b of 1954 PA 116 (MCL 168.467b).Last Action: ASSIGNED PA 0207'09 WITH IMMEDIATE EFFECT
SB 0023 of 2009 (PA 0208 of 2009),Senate Bill,Elections; judicial; incorrect nominating petition signature information provided to a candidate for the office of judge of probate; provide equitable relief under certain circumstances. Amends sec. 433 of 1954 PA 116 (MCL 168.433).Last Action: ASSIGNED PA 0208'09 WITH IMMEDIATE EFFECT
SB 0024 of 2009,Senate Bill,Elections; judicial; incorrect nominating petition signature information provided to a candidate for the office of judge of the municipal court of record; provide equitable relief under certain circumstances. Amends sec. 426d of 1954 PA 116 (MCL 168.426d).Last Action: POCKET VETO 01/05/2010   2009 ADDENDA
SB 0025 of 2009,Senate Bill,Labor; youth employment; youth employment standards; revise maximum number of hours a minor may work. Amends sec. 11 of 1978 PA 90 (MCL 409.111).Last Action: referred to Committee on Labor
SB 0026 of 2009 (PA 0124 of 2010),Senate Bill,"Health; occupations; ability to form a limited liability company or professional service corporation by physicians and physician's assistants; clarify to ensure proper supervision of physician's assistants. Amends sec. 17048 of 1978 PA 368 (MCL 333.17048).  TIE BAR WITH: SB 0027'09, SB 0028'09Last Action: ASSIGNED PA 0124'10 WITH IMMEDIATE EFFECT"
SB 0027 of 2009 (PA 0125 of 2010),Senate Bill,"Businesses; professional corporations; formation of professional corporations by physician groups or physician and physician's assistant groups; allow. Amends secs. 2 & 4 of 1962 PA 192 (MCL 450.222 & 450.224).  TIE BAR WITH: SB 0026'09, SB 0028'09Last Action: ASSIGNED PA 0125'10 WITH IMMEDIATE EFFECT"
SB 0028 of 2009 (PA 0126 of 2010),Senate Bill,"Businesses; limited liability companies; formation of limited liability companies by physician groups or physician and physician's assistant groups; allow. Amends secs. 902 & 904 of 1993 PA 23 (MCL 450.4902 & 450.4904).  TIE BAR WITH: SB 0026'09, SB 0027'09Last Action: ASSIGNED PA 0126'10 WITH IMMEDIATE EFFECT"
SB 0029 of 2009,Senate Bill,"Civil procedure; foreclosure; 2-year moratorium on mortgage foreclosures; provide for. Amends secs. 3115, 3201 & 3236 of 1961 PA 236 (MCL 600.3115 et seq.) & adds secs. 3116 & 3237.  TIE BAR WITH: SB 0030'09, SB 0031'09Last Action: REFERRED TO COMMITTEE ON BANKING AND FINANCIAL INSTITUTIONS"
SB 0030 of 2009,Senate Bill,Property tax; delinquent taxes; stay of foreclosure for unpaid property taxes; allow if stay of mortgage foreclosure is ordered. Amends secs. 78k & 78m of 1893 PA 206 (MCL 211.78k & 211.78m).  TIE BAR WITH: SB 0029'09Last Action: REFERRED TO COMMITTEE ON BANKING AND FINANCIAL INSTITUTIONS
SB 0031 of 2009,Senate Bill,Housing; housing development authority; mortgage foreclosure extension guarantee program; allow housing development authority to offer. Amends 1966 PA 346 (MCL 125.1401 - 125.1499c) by adding sec. 44h.  TIE BAR WITH: SB 0029'09Last Action: REFERRED TO COMMITTEE ON BANKING AND FINANCIAL INSTITUTIONS
