Document,Type,Description
HR 0001 of 2019,House Resolution,A resolution prescribing the Standing Rules of the House of Representatives.Last Action: adopted
SR 0001 of 2019,Senate Resolution,A resolution notifying the Governor and the House of Representatives that the Senate is ready to proceed with the business of the session.Last Action: ADOPTED
SR 0002 of 2019,Senate Resolution,A resolution prescribing the Standing Rules of the Senate.Last Action: ADOPTED
HR 0002 of 2019,House Resolution,A resolution to provide for Jason Wentworth to be Speaker Pro Tempore of the House of Representatives for the Hundredth Legislature.Last Action: roll call Roll Call # 2 Yeas 110 Nays 0 Excused 0 Not Voting 0
HR 0003 of 2019,House Resolution,A resolution to provide for the Clerk of the House of Representatives for the Hundredth Legislature.Last Action: roll call Roll Call # 3 Yeas 110 Nays 0 Excused 0 Not Voting 0
SR 0003 of 2019,Senate Resolution,"A resolution recognizing January 2019 as ""Local School Board Recognition Month"".Last Action: ADOPTED"
SR 0004 of 2019,Senate Resolution,A resolution to amend the Standing Rules of the Senate.Last Action: ADOPTED
HR 0004 of 2019,House Resolution,A resolution fixing the hour for daily sessions.  Last Action: adopted
HR 0005 of 2019,House Resolution,A resolution directing the Clerk to notify the Governor that the House of Representatives has assembled and is ready to proceed with the business of the session. Last Action: adopted
SR 0005 of 2019,Senate Resolution,A resolution to urge the Congress and President of the United States to end the partial federal government shutdown.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SR 0006 of 2019,Senate Resolution,"A resolution to authorize the Senate Majority Leader to engage counsel to file a motion on behalf of the Senate to intervene in League of Women Voters of Michigan, et al v. Jocelyn Benson.Last Action: ADOPTED"
HR 0006 of 2019,House Resolution,A resolution directing the Clerk to notify the Senate that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted
HR 0007 of 2019,House Resolution,"A resolution to declare January 15, 2019, as Alpha Kappa Alpha Sorority, Incorporated, Founders' Day in the state of Michigan.Last Action: adopted"
SR 0007 of 2019,Senate Resolution,A resolution to commemorate the 60th Anniversary of Motown Records.Last Action: ADOPTED
SR 0008 of 2019,Senate Resolution,"A resolution recognizing January 27-February 2, 2019, as Catholic Schools Week in the state of Michigan.Last Action: ADOPTED"
HR 0008 of 2019,House Resolution,A resolution to create the House Select Committee on Reducing Car Insurance Rates.Last Action: adopted
HR 0009 of 2019,House Resolution,A resolution to recognize the 46th anniversary of the issuance of the U.S. Supreme Court Roe v. Wade ruling.Last Action: referred to Committee on Government Operations
SR 0009 of 2019,Senate Resolution,"A resolution to commemorate February 1, 2019, as Blue Star Mother's Day.Last Action: ADOPTED"
SR 0010 of 2019,Senate Resolution,"A resolution recognizing February 2019 as American Heart Month and February 1, 2019, as ""Go Red for Women Day.""Last Action: ADOPTED"
HR 0010 of 2019,House Resolution,"A resolution to  declare January 20-26, 2019, as School Choice Week in the state of Michigan.Last Action: adopted"
HR 0011 of 2019,House Resolution,A resolution to  declare January 2019 as Local School Board Recognition Month in the state of Michigan.Last Action: adopted
SR 0011 of 2019,Senate Resolution,A resolution to commemorate the 100th Anniversary of the founding of the Michigan Farm Bureau.Last Action: ADOPTED
SR 0012 of 2019,Senate Resolution,"A resolution to urge the United States Department of Agriculture's Forest Service to reverse its recent order banning the use of alcohol on and within 200 feet of the shoreline of the National Wild and Scenic River sections of the AuSable, Manistee, and Pine rivers.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES"
HR 0012 of 2019,House Resolution,"A resolution to declare January 31, 2019, as Omphalocele Awareness Day in the state of Michigan.Last Action: adopted"
HR 0013 of 2019,House Resolution,A resolution to  commemorate in the state of Michigan January 2019 as the 90th anniversary of the birth of Dr. Martin Luther King Jr.Last Action: adopted
SR 0013 of 2019,Senate Resolution,"A resolution to recognize February 2019 as ""School-Based Health Care Awareness Month"".Last Action: ADOPTED"
SR 0014 of 2019,Senate Resolution,A resolution to honor the life and service of Congressman John D. Dingell Jr.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS
HR 0014 of 2019,House Resolution,A resolution to encourage the construction of a peaking power plant in the Upper Peninsula.Last Action: referred to Committee on Energy
HR 0015 of 2019,House Resolution,"A resolution to  recognize January 27-February 2, 2019, as Catholic Schools Week in the state of Michigan.Last Action: adopted"
SR 0015 of 2019,Senate Resolution,"A resolution to urge the federal government to provide durable, permanent, and meaningful security at our nation's borders.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SR 0016 of 2019,Senate Resolution,"A resolution to request an opinion of the Supreme Court of the state of Michigan pursuant to Article III, Section 8 of the Constitution of the State of Michigan of 1963.Last Action: ADOPTED"
HR 0016 of 2019,House Resolution,A resolution to  commemorate the 100th anniversary of the founding of Michigan Farm Bureau.Last Action: adopted
HR 0017 of 2019,House Resolution,"A resolution authorizing the Speaker to act on behalf of the House of Representatives in League of Women Voters of Michigan, et al v. Jocelyn Benson.   Last Action: adopted"
SR 0017 of 2019,Senate Resolution,A resolution to honor the Michigan Fraternal Order of Police (FOP) on their 80th Anniversary.Last Action: ADOPTED
SR 0018 of 2019,Senate Resolution,A resolution to recognize May 2019 as Stroke Awareness Month.Last Action: ADOPTED
HR 0018 of 2019,House Resolution,A resolution to declare February 2019 as School-Based Health Care Awareness Month in the state of Michigan.Last Action: adopted
HR 0019 of 2019,House Resolution,"A resolution to declare February 11, 2019, as White Shirt Day in the state of Michigan.Last Action: adopted"
SR 0019 of 2019,Senate Resolution,A resolution commemorating March 2019 as Problem Gambling Awareness Month.Last Action: ADOPTED
SR 0020 of 2019,Senate Resolution,"A resolution to recognize myalgic encephalomyelitis as a serious, debilitating disease and urge key entities to improve patient care, prioritize new research, educate health professionals, and raise awareness about the severity of the disease.Last Action: ADOPTED"
HR 0020 of 2019,House Resolution,"A resolution to declare February 7-14, 2019, as Congenital Heart Defect Awareness Week in the state of Michigan.   Last Action: adopted"
HR 0021 of 2019,House Resolution,"A resolution to declare February 2019 as American Heart Month and February 1, 2019, as Go Red for Women Day in the state of Michigan.Last Action: adopted"
SR 0021 of 2019,Senate Resolution,A resolution to oppose the Green New Deal as outlined in U.S. House Resolution 109 and U.S. Senate Resolution 59 and encourage our national leaders to pursue smarter evidence-based regulatory practices.Last Action: REFERRED TO COMMITTEE ON ENERGY AND TECHNOLOGY
SR 0022 of 2019,Senate Resolution,A resolution to commemorate the 100th Anniversary of the American Legion.Last Action: ADOPTED
HR 0022 of 2019,House Resolution,A resolution to  declare February 2019 as Transparency in Government Month in the state of Michigan.Last Action: adopted
HR 0023 of 2019,House Resolution,A resolution to declare this legislative body's policy to protect life by preserving legal protections for unborn children under Michigan law and to recognize that any abortion is a tragic loss of human life.   Last Action: adopted
SR 0023 of 2019,Senate Resolution,"A resolution to commemorate March 15, 2019, as Biggby Coffee Day.Last Action: ADOPTED"
SR 0024 of 2019,Senate Resolution,A resolution to recognize March 2019 as Michigan Bleeding Disorders Awareness Month.Last Action: ADOPTED
HR 0024 of 2019,House Resolution,"A resolution to declare February 21, 2019, as Conductive Education Day in the state of Michigan.   Last Action: adopted"
