Document,Type,Description
SR 0001 of 2009,Senate Resolution,A resolution notifying the Governor and the House of Representatives that the Senate is ready to proceed with the business of the session.Last Action: ADOPTED
HR 0001 of 2009,House Resolution,A resolution prescribing the Standing Rules of the House of Representatives.Last Action: adopted
HR 0002 of 2009,House Resolution,A resolution to provide for the Clerk of the House of Representatives for the Ninety-fifth Legislature.Last Action:  Roll Call # 2 Yeas 110 Nays 0
SR 0002 of 2009,Senate Resolution,A resolution for the adoption of temporary Standing Rules of the Senate.Last Action: ADOPTED
SR 0003 of 2009,Senate Resolution,"A resolution observing January 27, 2009, as the International Holocaust Remembrance Day.Last Action: ADOPTED"
HR 0003 of 2009,House Resolution,A resolution fixing the hour for daily sessions.Last Action: adopted
HR 0004 of 2009,House Resolution,A resolution directing the Clerk to notify the Governor that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted
SR 0004 of 2009,Senate Resolution,"A resolution recognizing January 25-31, 2009, as Catholic Schools Week in the state of Michigan.Last Action: ADOPTED"
SR 0005 of 2009,Senate Resolution,A resolution for the adoption of the Standing Rules of the Senate.Last Action: ADOPTED
HR 0005 of 2009,House Resolution,A resolution directing the Clerk to notify the Senate that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted
HR 0006 of 2009,House Resolution,"A resolution to memorialize the Congress of the United States to ensure that any new economic stimulus package includes a stimulus for individual taxpayers and targeted tax cuts for Americans, including incentives for past and current homeowners.

Last Action: referred to Committee on Tax Policy"
SR 0006 of 2009,Senate Resolution,"A resolution to memorialize the Congress of the United States to tie the federal economic stimulus package distribution to the unemployment rate in each state and to provide that those states with the highest unemployment rates receive a higher percentage of federal funds.

Last Action: ADOPTED"
SR 0007 of 2009,Senate Resolution,"A resolution declaring February 11, 2009, as White Shirt Day in the state of Michigan.Last Action: ADOPTED"
HR 0007 of 2009,House Resolution,A resolution to amend the Standing Rules of the House of Representatives.Last Action: adopted
HR 0008 of 2009,House Resolution,"A resolution recognizing January 25 - 31, 2009, as Catholic Schools Week in the state of Michigan.Last Action: adopted"
SR 0008 of 2009,Senate Resolution,"A resolution proclaiming February 6, 2009, as Go Red for Women Day.Last Action: ADOPTED"
SR 0009 of 2009,Senate Resolution,"A resolution urging the United States Congress to support President Barack Obama’s American Recovery and Reinvestment Plan.

Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM"
HR 0009 of 2009,House Resolution,"A resolution to memorialize the President of the United States and the United States Congress to ensure that businesses located in the United States and their employees be the primary beneficiaries of the planned economic relief legislation to stimulate the economy and create jobs.

Last Action: adopted"
HR 0010 of 2009,House Resolution,"A resolution memorializing the Congress of the United States to enact the Employee Free Choice Act.

Last Action:  Roll Call # 14 Yeas 67 Nays 40"
SR 0010 of 2009,Senate Resolution,"A resolution of tribute offered to the Honorable John D. Dingell, Congressman for Michigan's 15th District.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
SR 0011 of 2009,Senate Resolution,"A resolution maximizing the state's ability to affect the terms and conditions of gaming operations under federal law by concurring in the tribal-state gaming compact negotiated between the Governor and the Match-E-Be-Nash-She-Wish Band of Pottawatomi Indians of Michigan (the Gun Lake Band) and the state of Michigan and executed on May 9, 2007.
Last Action: ADOPTED"
HR 0011 of 2009,House Resolution,"A resolution to memorialize the President, the Congress, and the Department of Homeland Security of the United States to change requirements, agreements, and memorandums of understanding relating to the creation of Enhanced Drivers Licenses.

Last Action: adopted"
HR 0012 of 2009,House Resolution,"A resolution to express support for the people of India following the terrorist attacks in Mumbai and to memorialize the President and Congress to work with Indian authorities in both humanitarian and strategic capacities.

Last Action: adopted"
SR 0012 of 2009,Senate Resolution,"A resolution to proclaim February 8-14, 2009, as NAACP Week in Michigan.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
SR 0013 of 2009,Senate Resolution,"A resolution to urge the Governor to work with the Civil Service Commission to require that state employees either work on President's Day or take the day off as an unpaid holiday to reflect the state's dire financial challenges.

Last Action:  ROLL CALL # 22 YEAS 5 NAYS 30 EXCUSED 1 NOT VOTING 1"
HR 0013 of 2009,House Resolution,"A resolution of tribute offered as a memorial for William R. Keith, former member of the House of Representatives.

Last Action: adopted by unanimous standing vote"
HR 0014 of 2009,House Resolution,"A resolution to urge the U.S. Alcohol and Tobacco Tax and Trade Bureau to waive any taxes or fees related to distilled spirits for plants making ethanol solely for fuel use.

Last Action: referred to Committee on Tax Policy"
SR 0014 of 2009,Senate Resolution,A resolution commemorating March 2009 as Ethnic and Cultural Heritage Month in the state of Michigan.Last Action: ADOPTED
