Document,Type,Description
HR 0001 of 2013,House Resolution,A resolution prescribing the Standing Rules of the House of Representatives.Last Action: adopted
SR 0001 of 2013,Senate Resolution,A resolution notifying the Governor and the House of Representatives that the Senate is ready to proceed with the business of the session.Last Action: ADOPTED
SR 0002 of 2013,Senate Resolution,A resolution for the adoption of temporary Standing Rules of the Senate.Last Action: ADOPTED
HR 0002 of 2013,House Resolution,A resolution to provide for officers of the House of Representatives for the Ninety-seventh Legislature.Last Action:  Roll Call # 2 Yeas 109 Nays 0
HR 0003 of 2013,House Resolution,A resolution to provide for the Clerk of the House of Representatives for the Ninety-seventh Legislature.Last Action:  Roll Call # 3 Yeas 108 Nays 1
SR 0003 of 2013,Senate Resolution,A resolution offered as a memorial to the life and accomplishments of Ted Gatzaros.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS
SR 0004 of 2013,Senate Resolution,"A resolution to memorialize the President and the United States Congress to support the continued and increased importation of oil derived from Canadian oil sands and to urge the United States Secretary of State to approve the TransCanada Keystone Coast Expansion pipeline project.Last Action: REFERRED TO COMMITTEE ON ENERGY AND TECHNOLOGY"
HR 0004 of 2013,House Resolution,A resolution fixing the hour for daily sessions.Last Action: adopted
HR 0005 of 2013,House Resolution,A resolution directing the Clerk to notify the Governor that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted
SR 0005 of 2013,Senate Resolution,"A resolution recognizing February 1, 2013, as National Wear Red Day.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
SR 0006 of 2013,Senate Resolution,A resolution celebrating February 2013 as American Heart Month in the state of Michigan.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS
HR 0006 of 2013,House Resolution,A resolution directing the Clerk to notify the Senate that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted
HR 0007 of 2013,House Resolution,"A resolution to declare January 2013 as Clinical Trial Awareness Month in the state of Michigan. 
Last Action: adopted"
SR 0007 of 2013,Senate Resolution,"A resolution to declare January 27 - February 2, 2013, as Catholic Schools Week in the state of Michigan.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
