Document,Type,Description
HJR A of 2005,House Joint Resolution,"Legislature; legislators; term limits for state representatives; revise to four 2-year terms. Amends sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 01/28/2005"
SJR A of 2005,Senate Joint Resolution,"Insurance; other; insurance commissioner; require to be an elected position. Amends secs. 21 & 23, art. V of the state constitution.Last Action: REFERRED TO COMMITTEE ON BANKING AND FINANCIAL INSTITUTIONS"
SJR B of 2005,Senate Joint Resolution,"Education; other; constitutional amendment to provide for gubernatorial appointment of superintendent of public instruction; provide for and require advice and consent of the senate. Amends sec. 3, art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON EDUCATION"
HJR B of 2005,House Joint Resolution,"Property tax; assessments; agricultural property assessment based on agricultural use value; amend constitution to provide for. Amends sec. 3, art. IX of the state constitution.Last Action: printed joint resolution filed 01/28/2005"
HJR C of 2005,House Joint Resolution,"Education; other; constitutional amendment to provide for gubernatorial appointment of superintendent of public instruction; provide for. Amends sec. 3, art. VIII of the state constitution.Last Action: postponed for the day"
SJR C of 2005,Senate Joint Resolution,State; bonds; constitutional amendment for the issuance of certain general obligation bonds and to allow for certain investments; provide for. Amends the state constitution by adding sec. 15a to art. IX.Last Action: reassign to Committee on Commerce
SJR D of 2005,Senate Joint Resolution,"State; budget; taxpayers bill of rights to limit government growth; adopt. Amends sec. 28, art. IX of state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
HJR D of 2005,House Joint Resolution,"Legislature; legislators; part-time legislature; provide for and revise salary level. Amends secs. 12 & 13, art. IV of the state constitution.Last Action: printed joint resolution filed 02/04/2005"
HJR E of 2005,House Joint Resolution,"Taxation; other; constitutional limit on state spending; establish. Amends sec. 28, art. IX of the state constitution.Last Action: printed joint resolution filed 02/16/2005"
SJR E of 2005,Senate Joint Resolution,"Land use; condemnation; taking of private property by eminent domain for certain purposes; prohibit. Amends sec. 2, art. X of the state constitution.Last Action: FILED WITH SECRETARY OF STATE 12/15/2005 @ 1:55 PM"
SJR F of 2005,Senate Joint Resolution,"Legislature; legislators; term limits for state representatives; revise to four 2-year terms. Amends sec. 54, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR F of 2005,House Joint Resolution,"State; employees and officers; hiring for civil service position; provide preferential treatment to veterans. Amends sec. 5, art. XI of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
