Document,Type,Description
SR 0001 of 2021,Senate Resolution,A resolution notifying the Governor and the House of Representatives that the Senate is ready to proceed with the business of the session.Last Action: ADOPTED
HR 0001 of 2021,House Resolution,A resolution prescribing the Standing Rules of the House of Representatives.Last Action: adopted
HR 0002 of 2021,House Resolution,A resolution to provide for Pamela Hornberger to be Speaker Pro Tempore of the House of Representatives for the One Hundred First Legislature.Last Action: roll call Roll Call # 2 Yeas 107 Nays 0 Excused 0 Not Voting 3
SR 0002 of 2021,Senate Resolution,A resolution prescribing the Standing Rules of the Senate.Last Action: ADOPTED
SR 0003 of 2021,Senate Resolution,A resolution to condemn the attempted coup to overturn the 2020 presidential election at the U.S. Capitol and state emphatically that there is no place for further undermining the 2020 November election with baseless conspiracy theories.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
HR 0003 of 2021,House Resolution,A resolution to provide for Gary L. Randall to be the Clerk of the House of Representatives for the One Hundred First Legislature.Last Action: roll call Roll Call # 3 Yeas 107 Nays 0 Excused 0 Not Voting 3
HR 0004 of 2021,House Resolution,A resolution fixing the hour for daily sessions.Last Action: adopted
SR 0004 of 2021,Senate Resolution,"A resolution to censure Senators John Bizon, Tom Barrett, Kevin Daley, Kim LaSata, Dan Lauwers, Rick Outman, Jim Runestad, Lana Theis, Curt VanderWall, Roger Victory, and Dale Zorn and condemn their efforts to undermine American elections.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SR 0005 of 2021,Senate Resolution,A resolution to amend the Standing Rules of the Senate.Last Action: ADOPTED
HR 0005 of 2021,House Resolution,A resolution directing the Clerk to notify the Governor that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted
HR 0006 of 2021,House Resolution,A resolution directing the Clerk to notify the Senate that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted
SR 0006 of 2021,Senate Resolution,"A resolution to recognize January 31-February 6, 2021, as Catholic Schools Week.Last Action: ADOPTED"
SR 0007 of 2021,Senate Resolution,A resolution to urge the Governor and the Michigan Department of Health and Human Services to lift the suspension on high school and youth sports and allow play to resume immediately.Last Action: ADOPTED AS SUBSTITUTED (S-1)
HR 0007 of 2021,House Resolution,"A resolution to declare February 1, 2021, as Restaurant Dine-In Day in the state of Michigan.Last Action: adopted"
HR 0008 of 2021,House Resolution,"A resolution to urge Congress to enact legislation to classify domestic terrorism as a federal crime to provide the Federal Bureau of Investigation and the Department of Homeland Security with more tools to combat these types of crimes.Last Action: referred to Committee on Military, Veterans and Homeland Security"
SR 0008 of 2021,Senate Resolution,A resolution to affirm the right to life of every unborn child in this state and call for the enforcement of all laws regulating or limiting the practice of abortion.Last Action: ADOPTED
SR 0009 of 2021,Senate Resolution,A resolution to request that the Secretary of State and the Bureau of Elections complete the signature review process for the Unlock Michigan initiative petition.Last Action: ADOPTED AS SUBSTITUTED (S-1)
HR 0009 of 2021,House Resolution,"A resolution to declare January 15, 2021, as Alpha Kappa Alpha Sorority, Incorporated Founders’ Day in the state of Michigan.Last Action: adopted"
HR 0010 of 2021,House Resolution,"A resolution to censure Representative Matt Maddock of the Forty-Fourth House District, State of Michigan.Last Action: referred to Committee on Government Operations"
SR 0010 of 2021,Senate Resolution,"A resolution to commemorate February 1, 2021, as Blue Star Mother's Day.Last Action: ADOPTED"
SR 0011 of 2021,Senate Resolution,A resolution to recognize February 2021 as Black History Month.Last Action: ADOPTED
HR 0011 of 2021,House Resolution,"A resolution to create a House select committee to examine the misconduct of Representative Matt Maddock of the Forty-Fourth House District, State of Michigan, and recommend appropriate discipline.Last Action: referred to Committee on Government Operations"
HR 0012 of 2021,House Resolution,A resolution to declare January 2021 as Fire Fighter Cancer Awareness Month in the state of Michigan.Last Action: adopted
SR 0012 of 2021,Senate Resolution,A resolution to recognize February 2021 as School-Based Health Care Awareness Month.Last Action: ADOPTED
SR 0013 of 2021,Senate Resolution,A resolution to stand with the Burmese communities of Battle Creek and Springfield in supporting democracy and opposing military coups.Last Action: ADOPTED
HR 0013 of 2021,House Resolution,"A resolution to declare January 13, 2021, as Delta Sigma Theta Sorority, Incorporated, Day in the state of Michigan.Last Action: adopted"
HR 0014 of 2021,House Resolution,A resolution to declare January 2021 as Human Trafficking Awareness Month in the state of Michigan.Last Action: adopted
SR 0014 of 2021,Senate Resolution,"A resolution to recognize February 2021 as American Heart Month and February 5, 2021, as “Go Red for Women Day.”Last Action: ADOPTED"
SR 0015 of 2021,Senate Resolution,"A resolution to urge the Natural Resources Commission to authorize, and the Department of Natural Resources to organize, wolf hunting and trapping as part of the state's wolf management efforts beginning in 2021.Last Action: ADOPTED"
HR 0015 of 2021,House Resolution,"A resolution to declare January 25-29, 2021, as Human Trafficking Awareness Week in the state of Michigan.Last Action: adopted"
HR 0016 of 2021,House Resolution,"A resolution to declare January 24-30, 2021, as School Choice Week in the state of Michigan.Last Action: adopted"
SR 0016 of 2021,Senate Resolution,"A resolution to express support for mining and the mining industry and encourage the Governor, state agencies, local governments, members of the public, and labor organizations to support mining by taking certain actions.Last Action: ADOPTED"
SR 0017 of 2021,Senate Resolution,A resolution to urge the Natural Resources Commission and the Department of Natural Resources to end the research study begun in 2019 concerning the effectiveness of antler point restrictions as a management tool in the chronic wasting disease core area.Last Action: ADOPTED
HR 0017 of 2021,House Resolution,"A resolution to declare January 31, 2021, as Omphalocele Awareness Day in the state of Michigan.Last Action: adopted"
HR 0018 of 2021,House Resolution,A resolution to declare February 2021 as School-Based Health Care Awareness Month in the state of Michigan.Last Action: adopted
SR 0018 of 2021,Senate Resolution,"A resolution to designate February 22, 2021, as Supermarket Employee Day.Last Action: ADOPTED"
SR 0019 of 2021,Senate Resolution,"A resolution to designate March 1, 2021, as COVID-19 Victims and Survivors Memorial Day.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HR 0019 of 2021,House Resolution,A resolution to recognize the 48th anniversary of the issuance of the U.S. Supreme Court’s Roe v. Wade ruling.Last Action: referred to Committee on Government Operations
HR 0020 of 2021,House Resolution,"A resolution to declare January 11, 2021, as Human Trafficking Awareness Day in the state of Michigan.Last Action: adopted"
SR 0020 of 2021,Senate Resolution,A resolution to encourage the Natural Resources Commission to add Eastern sandhill cranes to the game species list and seek U.S. Fish and Wildlife Service approval to establish an Eastern sandhill crane hunting season.Last Action: PLACED ON ORDER OF RESOLUTIONS
SR 0021 of 2021,Senate Resolution,"A resolution to call on the National Guard Bureau to immediately end the food contract for the 1,000 Michigan National Guard service members currently deployed to Washington, D.C., and provide a per diem food allowance backdated to the start of mobilization.Last Action: ADOPTED"
HR 0021 of 2021,House Resolution,"A resolution to declare January 31-February 6, 2021, as Catholic Schools Week in the state of Michigan.Last Action: adopted"
HR 0022 of 2021,House Resolution,A resolution to affirm the right to life of every unborn child in this state and call for the enforcement of all laws regulating or limiting the practice of abortion.Last Action: adopted
SR 0022 of 2021,Senate Resolution,A resolution to firmly affirm support for the preservation of the Second Amendment and to express the sense of the Senate regarding federal laws that infringe on the right to bear arms.Last Action: ADOPTED
SR 0023 of 2021,Senate Resolution,A resolution to grant the Senate Standing Committee on Education and Career Readiness and the Senate Standing Committee on Oversight the power to subpoena state records and files.Last Action: ADOPTED
HR 0023 of 2021,House Resolution,A resolution to urge the Governor and the Michigan Department of Health and Human Services to lift the suspension on high school sports and allow play to resume immediately.Last Action: adopted
HR 0024 of 2021,House Resolution,"A resolution to urge the U.S. Congress, the U.S. Securities and Exchange Commission, and other federal financial regulators to investigate the management of hedge funds, insider trading, market manipulation, the exploitation of customer data, and methods of stock market trading.Last Action: referred to Committee on Financial Services"
SR 0024 of 2021,Senate Resolution,A resolution to memorialize the Congress of the United States to change the formula for distributing coronavirus emergency relief funds for schools to allow states to distribute funds on a more equitable basis.Last Action: ADOPTED
